state,year,month,temperature,precipitation,snowfall,wind_speed
AL,2000,01,4.344827586206897,,,
AL,2000,02,8.292857142857143,,,
AL,2000,03,10.714814814814813,,,
AL,2000,04,16.462962962962962,,,
AL,2000,05,20.848148148148145,,,
AL,2000,06,25.729999999999997,,,
AL,2000,07,25.836666666666666,,,
AL,2000,08,26.68709677419354,,,
AL,2000,09,22.71333333333333,,,
AL,2000,10,18.703571428571426,,,
AL,2000,11,15.386666666666667,,,
AL,2000,12,10.446666666666665,,,
AL,2001,01,11.066666666666666,,,
AL,2001,02,10.375,,,
AL,2001,03,15.082758620689654,,,
AL,2001,04,14.343333333333332,,,
AL,2001,05,21.665,,,
AL,2001,06,25.207692307692312,,,
AL,2001,07,27.247619047619054,,,
AL,2001,08,28.45,,,
AL,2001,09,22.075000000000003,,,
AL,2001,10,19.094117647058823,,,
AL,2001,11,13.159090909090912,,,
AL,2001,12,5.0473684210526315,,,
AL,2002,01,8.271428571428572,,,
AL,2002,02,11.72777777777778,,,
AL,2002,03,14.356521739130432,,,
AL,2002,04,15.35185185185185,,,
AL,2002,05,19.65666666666667,,,
AL,2002,06,24.504347826086953,,,
AL,2002,07,26.93870967741935,,,
AL,2002,08,25.142307692307693,,,
AL,2002,09,20.176666666666666,,,
AL,2002,10,17.113333333333333,,,
AL,2002,11,13.683333333333335,,,
AL,2002,12,9.75806451612903,,,
AL,2003,01,9.859999999999996,,,
AL,2003,02,5.851851851851851,,,
AL,2003,03,11.174193548387098,,,
AL,2003,04,14.973333333333334,,,
AL,2003,05,22.696774193548393,,,
AL,2003,06,27.85,,,
AL,2003,07,28.038709677419355,,,
AL,2003,08,28.451612903225815,,,
AL,2003,09,21.806666666666665,,,
AL,2003,10,17.041935483870965,,,
AL,2003,11,13.863333333333333,,,
AL,2003,12,8.616129032258062,,,
AL,2004,01,6.7451612903225815,,,
AL,2004,02,8.520689655172415,,,
AL,2004,03,11.719354838709679,,,
AL,2004,04,15.76333333333333,,,
AL,2004,05,17.61290322580645,,,
AL,2004,06,23.333333333333336,,,
AL,2004,07,26.153333333333332,,,
AL,2004,08,24.861290322580647,,,
AL,2004,09,21.600000000000005,,,
AL,2004,10,19.09677419354839,,,
AL,2004,11,11.763333333333339,,,
AL,2004,12,9.741935483870968,,,
AL,2005,01,6.554838709677419,,,
AL,2005,02,6.371428571428571,,,
AL,2005,03,10.854838709677418,,,
AL,2005,04,14.066666666666666,,,
AL,2005,05,20.42258064516129,,,
AL,2005,06,22.903333333333332,,,
AL,2005,07,26.093548387096774,,,
AL,2005,08,24.84193548387097,,,
