state,year,month,BARLEY,CORN,OATS,SOYBEANS
Alabama,2017,9,,3.88,,
Alabama,2017,10,,3.96,,
Alabama,2017,11,,4.06,,
Alabama,2017,12,,3.97,,
Alabama,2018,1,,3.99,,
Alabama,2018,2,,4.0,,
Alabama,2018,3,,4.16,,
Alabama,2018,4,,4.1,,
Alabama,2018,5,,4.17,,
Alabama,2018,6,,4.19,,
Alabama,2018,7,,4.16,,
Alabama,2018,8,,4.0,,
Alabama,2018,9,,4.21,,
Alabama,2018,10,,4.02,,
Alabama,2018,11,,3.96,,
Alabama,2018,12,,4.19,,
Alabama,2019,1,,3.99,,
Alabama,2019,2,,4.42,,
Alabama,2019,3,,4.11,,
Alabama,2019,4,,4.28,,
Alabama,2019,5,,4.23,,
Alabama,2019,6,,3.69,,
Alabama,2019,7,,4.7,,
Alabama,2019,8,,3.96,,
Arizona,2018,8,,4.72,,
Arkansas,2000,1,,,,4.79
Arkansas,2000,2,,,,5.15
Arkansas,2000,3,,,,4.94
Arkansas,2000,4,,,,5.24
Arkansas,2000,5,,,,5.23
Arkansas,2000,6,,,,5.1
Arkansas,2000,7,,,,4.57
Arkansas,2000,8,,,,4.38
Arkansas,2000,9,,,,4.66
Arkansas,2000,10,,,,4.66
Arkansas,2000,11,,,,4.73
Arkansas,2000,12,,,,4.94
Arkansas,2001,1,,,,4.91
Arkansas,2001,2,,,,4.6
Arkansas,2001,3,,,,4.46
Arkansas,2001,4,,,,4.24
Arkansas,2001,5,,,,4.37
Arkansas,2001,6,,,,4.58
Arkansas,2001,7,,,,4.84
Arkansas,2001,8,,,,4.97
Arkansas,2001,9,,,,4.6
Arkansas,2001,10,,,,4.24
Arkansas,2001,11,,,,4.28
Arkansas,2001,12,,,,4.37
Arkansas,2002,1,,,,4.35
Arkansas,2002,2,,,,4.31
Arkansas,2002,3,,,,4.53
Arkansas,2002,4,,,,4.64
Arkansas,2002,5,,,,4.68
Arkansas,2002,6,,,,5.04
Arkansas,2002,7,,,,5.63
Arkansas,2002,8,,,,5.59
Arkansas,2002,9,,,,5.59
Arkansas,2002,10,,,,5.44
Arkansas,2002,11,,,,5.73
Arkansas,2002,12,,,,5.63
Arkansas,2003,1,,,,5.68
Arkansas,2003,2,,,,5.74
Arkansas,2003,3,,,,5.79
Arkansas,2003,4,,,,5.77
Arkansas,2003,5,,,,6.28
Arkansas,2003,8,,,,5.78
Arkansas,2003,9,,,,6.06
Arkansas,2003,10,,,,6.72
Arkansas,2003,11,,,,7.16
Arkansas,2003,12,,,,7.22
Arkansas,2004,1,,,,7.39
Arkansas,2004,2,,,,8.53
Arkansas,2004,3,,,,9.48
Arkansas,2004,4,,,,9.07
Arkansas,2004,5,,,,9.91
Arkansas,2004,6,,,,8.54
Arkansas,2004,7,,,,8.25
