date,max_temp,min_temp,pcp
validdate;t_max_2m_24h:F;t_min_2m_24h:F;precip_24h:mm
2024-01-01T00:00:00Z;54.4;37.2;3.62
2024-01-01T01:00:00Z;54.4;37.2;2.75
2024-01-01T02:00:00Z;54.4;37.2;2.11
2024-01-01T03:00:00Z;54.4;37.2;1.69
2024-01-01T04:00:00Z;54.4;37.2;1.40
2024-01-01T05:00:00Z;54.4;37.2;1.15
2024-01-01T06:00:00Z;54.4;37.2;0.94
2024-01-01T07:00:00Z;54.4;37.3;0.74
2024-01-01T08:00:00Z;54.4;37.5;0.55
2024-01-01T09:00:00Z;54.3;37.6;0.36
2024-01-01T10:00:00Z;54.3;38.0;0.19
2024-01-01T11:00:00Z;54.3;38.3;0.07
2024-01-01T12:00:00Z;54.2;38.7;0.00
2024-01-01T13:00:00Z;54.2;38.9;0.00
2024-01-01T14:00:00Z;54.2;38.9;0.00
2024-01-01T15:00:00Z;54.2;38.9;0.00
2024-01-01T16:00:00Z;54.2;38.9;0.00
2024-01-01T17:00:00Z;54.2;38.9;0.00
2024-01-01T18:00:00Z;54.2;38.9;0.00
2024-01-01T19:00:00Z;54.2;38.9;0.00
2024-01-01T20:00:00Z;54.2;38.9;0.00
2024-01-01T21:00:00Z;54.2;38.9;0.00
2024-01-01T22:00:00Z;52.0;39.1;0.00
2024-01-01T23:00:00Z;52.0;39.1;0.00
2024-01-02T00:00:00Z;52.0;39.1;0.00
2024-01-02T01:00:00Z;52.0;39.1;0.00
2024-01-02T02:00:00Z;52.0;39.1;0.00
2024-01-02T03:00:00Z;52.0;39.1;0.00
2024-01-02T04:00:00Z;52.0;39.1;0.00
2024-01-02T05:00:00Z;52.1;38.4;0.00
2024-01-02T06:00:00Z;52.2;37.2;0.00
2024-01-02T07:00:00Z;52.3;35.8;0.00
2024-01-02T08:00:00Z;52.5;34.4;0.00
2024-01-02T09:00:00Z;52.6;33.0;0.00
2024-01-02T10:00:00Z;52.8;31.9;0.00
2024-01-02T11:00:00Z;52.9;30.8;0.00
2024-01-02T12:00:00Z;53.0;29.7;0.00
2024-01-02T13:00:00Z;53.0;29.7;0.00
2024-01-02T14:00:00Z;53.0;29.7;0.00
2024-01-02T15:00:00Z;53.0;29.7;0.00
