date,max_temp,min_temp,pcp
validdate;t_max_2m_24h:F;t_min_2m_24h:F;precip_24h:mm
2024-01-01T00:00:00Z;14.3;-0.1;0.00
2024-01-01T01:00:00Z;14.3;0.5;0.00
2024-01-01T02:00:00Z;14.3;1.1;0.00
2024-01-01T03:00:00Z;14.3;1.6;0.00
2024-01-01T04:00:00Z;14.4;2.7;0.00
2024-01-01T05:00:00Z;14.5;3.9;0.00
2024-01-01T06:00:00Z;14.6;5.0;0.00
2024-01-01T07:00:00Z;15.1;5.8;0.00
2024-01-01T08:00:00Z;15.6;6.7;0.00
2024-01-01T09:00:00Z;16.1;7.5;0.00
2024-01-01T10:00:00Z;16.8;8.1;0.00
2024-01-01T11:00:00Z;17.6;8.6;0.00
2024-01-01T12:00:00Z;18.3;9.2;0.00
2024-01-01T13:00:00Z;18.4;9.8;0.00
2024-01-01T14:00:00Z;18.5;10.4;0.00
2024-01-01T15:00:00Z;18.5;11.0;0.00
2024-01-01T16:00:00Z;18.5;11.0;0.00
2024-01-01T17:00:00Z;18.5;11.0;0.00
2024-01-01T18:00:00Z;18.5;11.0;0.00
2024-01-01T19:00:00Z;18.5;11.1;0.05
2024-01-01T20:00:00Z;18.5;11.2;0.12
2024-01-01T21:00:00Z;18.6;11.3;0.21
2024-01-01T22:00:00Z;20.0;11.5;0.31
2024-01-01T23:00:00Z;21.5;11.6;0.42
2024-01-02T00:00:00Z;22.9;11.8;0.54
2024-01-02T01:00:00Z;24.3;11.7;0.66
2024-01-02T02:00:00Z;25.8;11.6;0.78
2024-01-02T03:00:00Z;27.2;11.6;0.89
2024-01-02T04:00:00Z;27.8;11.7;1.00
2024-01-02T05:00:00Z;28.4;11.8;1.13
2024-01-02T06:00:00Z;28.9;12.0;1.27
2024-01-02T07:00:00Z;29.0;12.6;1.41
2024-01-02T08:00:00Z;29.2;13.2;1.58
2024-01-02T09:00:00Z;29.3;13.8;1.75
2024-01-02T10:00:00Z;29.3;14.6;1.94
2024-01-02T11:00:00Z;29.4;15.2;2.12
2024-01-02T12:00:00Z;29.6;15.2;2.31
2024-01-02T13:00:00Z;30.0;15.1;2.49
2024-01-02T14:00:00Z;30.4;15.1;2.65
2024-01-02T15:00:00Z;30.7;15.1;2.79
2024-01-02T16:00:00Z;31.1;15.0;2.92
2024-01-02T17:00:00Z;31.6;15.0;3.04
2024-01-02T18:00:00Z;32.0;14.9;3.14
2024-01-02T19:00:00Z;32.1;15.4;3.20
2024-01-02T20:00:00Z;32.1;15.9;3.27
2024-01-02T21:00:00Z;32.2;16.4;3.35
2024-01-02T22:00:00Z;32.2;17.8;3.43
2024-01-02T23:00:00Z;32.1;19.3;3.47
2024-01-03T00:00:00Z;32.1;20.7;3.49
2024-01-03T01:00:00Z;31.9;22.2;3.47
2024-01-03T02:00:00Z;31.8;23.6;3.43
2024-01-03T03:00:00Z;31.7;25.1;3.32
2024-01-03T04:00:00Z;31.7;25.6;3.21
2024-01-03T05:00:00Z;31.8;26.2;3.08
2024-01-03T06:00:00Z;31.9;26.8;2.95
2024-01-03T07:00:00Z;31.9;27.0;2.80
2024-01-03T08:00:00Z;31.9;27.2;2.64
2024-01-03T09:00:00Z;31.9;27.3;2.46
2024-01-03T10:00:00Z;31.9;27.5;2.27
2024-01-03T11:00:00Z;31.8;27.6;2.09
2024-01-03T12:00:00Z;31.8;27.8;1.90
2024-01-03T13:00:00Z;31.8;28.2;1.72
2024-01-03T14:00:00Z;31.7;28.6;1.56
2024-01-03T15:00:00Z;31.7;29.0;1.42
2024-01-03T16:00:00Z;31.7;29.2;1.29
2024-01-03T17:00:00Z;31.7;29.2;1.18
2024-01-03T18:00:00Z;31.7;29.2;1.07
2024-01-03T19:00:00Z;31.7;29.2;0.96
2024-01-03T20:00:00Z;31.7;29.2;0.82
2024-01-03T21:00:00Z;31.7;29.2;0.65
2024-01-03T22:00:00Z;31.7;29.2;0.48
2024-01-03T23:00:00Z;31.7;29.2;0.33
2024-01-04T00:00:00Z;31.7;29.2;0.24
2024-01-04T01:00:00Z;31.7;28.5;0.19
2024-01-04T02:00:00Z;31.8;27.8;0.18
2024-01-04T03:00:00Z;31.9;27.2;0.25
2024-01-04T04:00:00Z;31.9;26.7;0.32
2024-01-04T05:00:00Z;32.0;26.3;0.40
2024-01-04T06:00:00Z;32.0;25.9;0.48
2024-01-04T07:00:00Z;31.5;25.3;0.56
2024-01-04T08:00:00Z;30.9;24.8;0.65
2024-01-04T09:00:00Z;30.9;24.2;0.73
2024-01-04T10:00:00Z;30.9;23.6;0.82
2024-01-04T11:00:00Z;31.0;23.1;0.92
2024-01-04T12:00:00Z;31.1;22.5;1.02
2024-01-04T13:00:00Z;31.0;21.9;1.13
2024-01-04T14:00:00Z;31.1;21.3;1.26
2024-01-04T15:00:00Z;31.1;20.7;1.40
2024-01-04T16:00:00Z;31.2;20.1;1.57
2024-01-04T17:00:00Z;31.3;19.4;1.75
2024-01-04T18:00:00Z;31.3;18.7;1.97
2024-01-04T19:00:00Z;31.4;18.0;2.22
2024-01-04T20:00:00Z;31.5;17.3;2.50
