date,max_temp,min_temp,pcp
validdate;t_max_2m_24h:F;t_min_2m_24h:F;precip_24h:mm
2024-01-01T00:00:00Z;71.4;47.6;0.00
2024-01-01T01:00:00Z;71.4;47.6;0.00
2024-01-01T02:00:00Z;71.4;47.6;0.00
2024-01-01T03:00:00Z;71.4;47.6;0.00
2024-01-01T04:00:00Z;71.4;47.6;0.00
2024-01-01T05:00:00Z;71.4;47.6;0.00
2024-01-01T06:00:00Z;71.4;47.6;0.00
2024-01-01T07:00:00Z;71.3;47.7;0.00
2024-01-01T08:00:00Z;71.3;47.9;0.00
2024-01-01T09:00:00Z;71.3;48.0;0.00
2024-01-01T10:00:00Z;71.3;48.2;0.00
2024-01-01T11:00:00Z;71.3;48.3;0.00
2024-01-01T12:00:00Z;71.3;48.4;0.00
2024-01-01T13:00:00Z;71.3;48.5;0.00
2024-01-01T14:00:00Z;71.3;48.5;0.00
2024-01-01T15:00:00Z;71.3;48.5;0.00
2024-01-01T16:00:00Z;71.2;48.7;0.00
2024-01-01T17:00:00Z;71.2;48.7;0.00
2024-01-01T18:00:00Z;71.2;48.7;0.00
2024-01-01T19:00:00Z;71.2;48.7;0.00
2024-01-01T20:00:00Z;71.2;48.7;0.00
2024-01-01T21:00:00Z;71.2;48.7;0.00
2024-01-01T22:00:00Z;69.7;48.9;0.00
2024-01-01T23:00:00Z;68.2;49.0;0.00
2024-01-02T00:00:00Z;66.7;49.2;0.00
2024-01-02T01:00:00Z;66.7;49.2;0.00
2024-01-02T02:00:00Z;66.7;49.2;0.00
2024-01-02T03:00:00Z;66.7;49.2;0.00
2024-01-02T04:00:00Z;66.7;49.2;0.00
2024-01-02T05:00:00Z;66.8;48.2;0.00
2024-01-02T06:00:00Z;67.0;46.9;0.00
2024-01-02T07:00:00Z;67.1;45.8;0.00
2024-01-02T08:00:00Z;67.2;44.7;0.00
2024-01-02T09:00:00Z;67.3;43.6;0.00
2024-01-02T10:00:00Z;67.4;42.9;0.00
2024-01-02T11:00:00Z;67.5;42.2;0.00
2024-01-02T12:00:00Z;67.6;41.4;0.00
2024-01-02T13:00:00Z;67.6;41.0;0.00
2024-01-02T14:00:00Z;67.6;40.6;0.00
2024-01-02T15:00:00Z;67.7;40.2;0.00
2024-01-02T16:00:00Z;67.7;40.2;0.00
2024-01-02T17:00:00Z;67.7;40.2;0.00
2024-01-02T18:00:00Z;67.7;40.2;0.00
2024-01-02T19:00:00Z;67.7;40.2;0.00
2024-01-02T20:00:00Z;67.7;40.2;0.00
2024-01-02T21:00:00Z;67.7;40.2;0.00
2024-01-02T22:00:00Z;65.7;40.4;0.00
2024-01-02T23:00:00Z;63.7;40.7;0.00
2024-01-03T00:00:00Z;61.7;40.9;0.00
2024-01-03T01:00:00Z;59.9;41.1;0.00
2024-01-03T02:00:00Z;59.9;41.1;0.00
2024-01-03T03:00:00Z;59.9;41.1;0.00
2024-01-03T04:00:00Z;59.9;41.1;0.00
2024-01-03T05:00:00Z;59.9;41.1;0.00
2024-01-03T06:00:00Z;59.9;41.1;0.00
2024-01-03T07:00:00Z;59.9;41.1;0.00
2024-01-03T08:00:00Z;59.9;41.1;0.00
2024-01-03T09:00:00Z;59.9;41.1;0.00
2024-01-03T10:00:00Z;59.9;41.1;0.00
2024-01-03T11:00:00Z;59.9;41.1;0.00
2024-01-03T12:00:00Z;59.9;41.1;0.00
2024-01-03T13:00:00Z;59.9;41.1;0.00
2024-01-03T14:00:00Z;59.9;41.1;0.00
2024-01-03T15:00:00Z;59.9;41.1;0.00
2024-01-03T16:00:00Z;59.8;41.8;0.00
2024-01-03T17:00:00Z;59.8;41.8;0.00
2024-01-03T18:00:00Z;59.8;41.8;0.00
2024-01-03T19:00:00Z;59.8;41.8;0.00
2024-01-03T20:00:00Z;60.0;41.8;0.00
2024-01-03T21:00:00Z;62.8;41.5;0.00
2024-01-03T22:00:00Z;62.8;41.5;0.00
2024-01-03T23:00:00Z;62.8;41.5;0.00
2024-01-04T00:00:00Z;62.8;41.5;0.00
2024-01-04T01:00:00Z;62.8;41.5;0.00
2024-01-04T02:00:00Z;62.8;41.5;0.00
2024-01-04T03:00:00Z;62.8;41.5;0.00
2024-01-04T04:00:00Z;62.8;41.5;0.00
2024-01-04T05:00:00Z;62.8;41.5;0.00
2024-01-04T06:00:00Z;62.8;41.5;0.00
2024-01-04T07:00:00Z;62.8;41.5;0.00
2024-01-04T08:00:00Z;62.8;41.5;0.00
2024-01-04T09:00:00Z;62.8;41.5;0.00
2024-01-04T10:00:00Z;62.8;41.5;0.00
2024-01-04T11:00:00Z;62.8;41.5;0.00
2024-01-04T12:00:00Z;62.8;41.5;0.00
2024-01-04T13:00:00Z;62.8;41.5;0.00
2024-01-04T14:00:00Z;62.8;41.5;0.00
2024-01-04T15:00:00Z;62.8;41.5;0.00
2024-01-04T16:00:00Z;62.5;44.3;0.00
2024-01-04T17:00:00Z;62.5;44.3;0.00
2024-01-04T18:00:00Z;62.5;44.3;0.00
2024-01-04T19:00:00Z;62.5;44.3;0.00
2024-01-04T20:00:00Z;62.5;44.3;0.00
2024-01-04T21:00:00Z;65.3;44.0;0.00
2024-01-04T22:00:00Z;65.3;44.0;0.00
2024-01-04T23:00:00Z;65.3;44.0;0.00
2024-01-05T00:00:00Z;65.3;44.0;0.00
2024-01-05T01:00:00Z;65.3;44.0;0.00
2024-01-05T02:00:00Z;65.3;44.0;0.00
2024-01-05T03:00:00Z;65.3;44.0;0.00
2024-01-05T04:00:00Z;65.3;44.0;0.00
2024-01-05T05:00:00Z;65.3;44.0;0.00
2024-01-05T06:00:00Z;65.3;44.0;0.00
2024-01-05T07:00:00Z;65.3;44.0;0.00
2024-01-05T08:00:00Z;65.3;44.0;0.00
2024-01-05T09:00:00Z;65.3;44.0;0.00
2024-01-05T10:00:00Z;65.3;44.0;0.00
2024-01-05T11:00:00Z;65.3;44.0;0.00
2024-01-05T12:00:00Z;65.3;44.0;0.00
2024-01-05T13:00:00Z;65.3;44.0;0.00
2024-01-05T14:00:00Z;65.4;43.8;0.00
2024-01-05T15:00:00Z;65.4;43.5;0.00
