date,max_temp,min_temp,pcp
validdate;t_max_2m_24h:F;t_min_2m_24h:F;precip_24h:mm
2024-01-01T00:00:00Z;37.3;24.1;0.00
2024-01-01T01:00:00Z;37.3;24.1;0.00
2024-01-01T02:00:00Z;37.3;24.1;0.00
2024-01-01T03:00:00Z;37.3;24.1;0.00
2024-01-01T04:00:00Z;37.3;24.5;0.00
2024-01-01T05:00:00Z;37.4;24.9;0.00
2024-01-01T06:00:00Z;37.4;25.4;0.00
2024-01-01T07:00:00Z;37.5;25.5;0.00
2024-01-01T08:00:00Z;37.6;25.7;0.00
2024-01-01T09:00:00Z;37.6;25.9;0.05
2024-01-01T10:00:00Z;37.8;25.9;0.12
2024-01-01T11:00:00Z;38.0;26.0;0.19
2024-01-01T12:00:00Z;38.2;26.0;0.27
2024-01-01T13:00:00Z;38.8;27.3;0.34
2024-01-01T14:00:00Z;39.3;28.6;0.34
2024-01-01T15:00:00Z;39.8;29.9;0.34
2024-01-01T16:00:00Z;40.8;31.5;0.34
2024-01-01T17:00:00Z;41.8;33.1;0.34
2024-01-01T18:00:00Z;42.8;34.5;0.34
2024-01-01T19:00:00Z;42.8;34.5;0.34
2024-01-01T20:00:00Z;42.8;34.5;0.34
2024-01-01T21:00:00Z;42.8;34.5;0.34
2024-01-01T22:00:00Z;42.8;34.5;0.34
2024-01-01T23:00:00Z;42.8;34.5;0.34
2024-01-02T00:00:00Z;42.8;34.5;0.34
2024-01-02T01:00:00Z;42.8;34.8;0.34
2024-01-02T02:00:00Z;42.8;34.7;0.34
2024-01-02T03:00:00Z;42.9;33.9;0.34
2024-01-02T04:00:00Z;42.9;33.2;0.34
2024-01-02T05:00:00Z;43.0;32.6;0.34
2024-01-02T06:00:00Z;43.1;31.9;0.34
2024-01-02T07:00:00Z;43.1;31.9;0.34
2024-01-02T08:00:00Z;43.1;31.8;0.34
2024-01-02T09:00:00Z;43.1;31.7;0.28
2024-01-02T10:00:00Z;43.1;31.7;0.22
2024-01-02T11:00:00Z;43.1;31.7;0.15
2024-01-02T12:00:00Z;43.1;31.7;0.07
2024-01-02T13:00:00Z;43.1;31.7;0.00
2024-01-02T14:00:00Z;43.1;31.7;0.00
