date,max_temp,min_temp,pcp
validdate;t_max_2m_24h:F;t_min_2m_24h:F;precip_24h:mm
2024-01-01T00:00:00Z;73.2;57.1;0.52
2024-01-01T01:00:00Z;73.2;57.1;0.52
2024-01-01T02:00:00Z;73.2;57.1;0.52
2024-01-01T03:00:00Z;73.2;57.1;0.52
2024-01-01T04:00:00Z;73.2;57.1;0.52
2024-01-01T05:00:00Z;73.3;56.3;0.52
2024-01-01T06:00:00Z;73.4;55.0;0.52
2024-01-01T07:00:00Z;73.5;54.2;0.52
2024-01-01T08:00:00Z;73.6;53.4;0.52
2024-01-01T09:00:00Z;73.7;52.6;0.52
2024-01-01T10:00:00Z;73.7;52.2;0.52
2024-01-01T11:00:00Z;73.8;51.7;0.52
2024-01-01T12:00:00Z;73.8;51.3;0.52
2024-01-01T13:00:00Z;73.8;51.3;0.52
2024-01-01T14:00:00Z;73.8;51.3;0.52
2024-01-01T15:00:00Z;73.8;51.3;0.52
2024-01-01T16:00:00Z;73.8;51.3;0.45
2024-01-01T17:00:00Z;73.8;51.3;0.34
2024-01-01T18:00:00Z;73.8;51.3;0.21
2024-01-01T19:00:00Z;72.9;51.4;0.08
2024-01-01T20:00:00Z;72.1;51.5;0.00
2024-01-01T21:00:00Z;71.2;51.6;0.00
2024-01-01T22:00:00Z;69.4;51.8;0.00
2024-01-01T23:00:00Z;67.6;52.0;0.00
2024-01-02T00:00:00Z;65.8;52.2;0.00
2024-01-02T01:00:00Z;64.2;52.4;0.00
2024-01-02T02:00:00Z;63.9;52.4;0.00
2024-01-02T03:00:00Z;63.9;52.4;0.00
2024-01-02T04:00:00Z;63.9;52.4;0.00
2024-01-02T05:00:00Z;64.0;51.7;0.00
2024-01-02T06:00:00Z;64.1;50.6;0.00
2024-01-02T07:00:00Z;64.2;49.7;0.00
2024-01-02T08:00:00Z;64.3;48.7;0.00
2024-01-02T09:00:00Z;64.4;47.7;0.00
2024-01-02T10:00:00Z;64.5;47.1;0.00
2024-01-02T11:00:00Z;64.5;46.4;0.00
2024-01-02T12:00:00Z;64.6;45.7;0.00
2024-01-02T13:00:00Z;64.6;45.7;0.00
2024-01-02T14:00:00Z;64.6;45.7;0.00
2024-01-02T15:00:00Z;64.6;45.7;0.00
2024-01-02T16:00:00Z;64.6;45.7;0.00
2024-01-02T17:00:00Z;64.6;45.7;0.00
2024-01-02T18:00:00Z;64.6;45.7;0.00
2024-01-02T19:00:00Z;64.6;45.7;0.00
2024-01-02T20:00:00Z;64.6;45.7;0.00
2024-01-02T21:00:00Z;64.6;45.7;0.00
2024-01-02T22:00:00Z;63.5;45.9;0.00
2024-01-02T23:00:00Z;63.5;45.9;0.00
2024-01-03T00:00:00Z;63.5;45.9;0.00
2024-01-03T01:00:00Z;63.5;45.9;0.00
2024-01-03T02:00:00Z;63.5;45.9;0.00
2024-01-03T03:00:00Z;63.5;45.9;0.00
2024-01-03T04:00:00Z;63.5;45.9;0.00
2024-01-03T05:00:00Z;63.5;45.9;0.00
2024-01-03T06:00:00Z;63.5;45.9;0.00
2024-01-03T07:00:00Z;63.5;45.9;0.00
2024-01-03T08:00:00Z;63.5;45.9;0.00
2024-01-03T09:00:00Z;63.5;45.9;0.00
2024-01-03T10:00:00Z;63.5;45.9;0.00
2024-01-03T11:00:00Z;63.5;45.9;0.00
2024-01-03T12:00:00Z;63.5;45.9;0.00
2024-01-03T13:00:00Z;63.3;47.9;0.00
2024-01-03T14:00:00Z;64.1;49.9;0.00
2024-01-03T15:00:00Z;67.2;51.6;0.00
2024-01-03T16:00:00Z;69.2;53.6;0.00
2024-01-03T17:00:00Z;71.4;53.3;0.00
2024-01-03T18:00:00Z;73.7;53.1;0.00
2024-01-03T19:00:00Z;73.8;53.1;0.00
2024-01-03T20:00:00Z;73.9;53.1;0.00
2024-01-03T21:00:00Z;74.0;53.1;0.00
2024-01-03T22:00:00Z;74.0;53.1;0.00
2024-01-03T23:00:00Z;74.0;53.1;0.06
2024-01-04T00:00:00Z;74.0;53.1;0.16
2024-01-04T01:00:00Z;74.0;53.1;0.32
2024-01-04T02:00:00Z;74.0;53.1;0.55
2024-01-04T03:00:00Z;74.0;53.1;0.86
2024-01-04T04:00:00Z;74.0;53.1;1.17
2024-01-04T05:00:00Z;74.0;53.1;1.42
2024-01-04T06:00:00Z;74.0;53.1;1.60
2024-01-04T07:00:00Z;74.0;53.5;1.72
2024-01-04T08:00:00Z;73.9;53.8;1.80
2024-01-04T09:00:00Z;73.9;54.2;1.80
2024-01-04T10:00:00Z;73.9;54.5;1.80
2024-01-04T11:00:00Z;73.8;54.8;1.80
2024-01-04T12:00:00Z;74.1;52.4;1.80
2024-01-04T13:00:00Z;74.1;52.4;1.80
2024-01-04T14:00:00Z;74.1;52.3;1.80
2024-01-04T15:00:00Z;74.1;52.2;1.80
2024-01-04T16:00:00Z;74.1;52.2;1.80
2024-01-04T17:00:00Z;74.1;52.2;1.80
2024-01-04T18:00:00Z;74.1;52.2;1.80
2024-01-04T19:00:00Z;74.1;52.2;1.80
2024-01-04T20:00:00Z;74.1;52.2;1.80
2024-01-04T21:00:00Z;74.1;52.2;1.80
2024-01-04T22:00:00Z;72.9;52.3;1.80
2024-01-04T23:00:00Z;71.7;52.4;1.73
2024-01-05T00:00:00Z;70.6;51.1;1.64
2024-01-05T01:00:00Z;69.9;50.2;1.48
2024-01-05T02:00:00Z;69.3;49.2;1.25
2024-01-05T03:00:00Z;68.6;48.3;0.94
2024-01-05T04:00:00Z;68.1;47.8;0.62
2024-01-05T05:00:00Z;67.6;47.3;0.37
2024-01-05T06:00:00Z;67.1;46.8;0.20
