date,max_temp,min_temp,pcp
validdate;t_max_2m_24h:F;t_min_2m_24h:F;precip_24h:mm
2024-01-01T00:00:00Z;42.3;35.4;0.40
2024-01-01T01:00:00Z;42.3;35.4;0.40
2024-01-01T02:00:00Z;42.3;35.4;0.40
2024-01-01T03:00:00Z;42.3;35.4;0.40
2024-01-01T04:00:00Z;42.3;35.4;0.40
2024-01-01T05:00:00Z;42.3;35.4;0.40
2024-01-01T06:00:00Z;42.3;35.4;0.40
2024-01-01T07:00:00Z;42.3;35.4;0.40
2024-01-01T08:00:00Z;42.3;35.4;0.40
2024-01-01T09:00:00Z;42.3;35.4;0.40
2024-01-01T10:00:00Z;42.3;35.4;0.40
2024-01-01T11:00:00Z;42.3;35.4;0.40
2024-01-01T12:00:00Z;42.3;35.4;0.40
2024-01-01T13:00:00Z;42.3;35.5;0.40
2024-01-01T14:00:00Z;42.3;35.6;0.40
2024-01-01T15:00:00Z;42.3;35.7;0.40
2024-01-01T16:00:00Z;42.1;37.4;0.40
2024-01-01T17:00:00Z;42.1;37.4;0.40
2024-01-01T18:00:00Z;42.3;37.4;0.40
2024-01-01T19:00:00Z;42.5;37.4;0.40
2024-01-01T20:00:00Z;42.6;37.4;0.33
2024-01-01T21:00:00Z;42.8;37.4;0.23
2024-01-01T22:00:00Z;42.8;37.4;0.14
2024-01-01T23:00:00Z;42.8;37.4;0.06
2024-01-02T00:00:00Z;42.8;37.3;0.00
2024-01-02T01:00:00Z;42.8;36.5;0.00
2024-01-02T02:00:00Z;42.9;35.8;0.00
2024-01-02T03:00:00Z;43.0;35.1;0.00
2024-01-02T04:00:00Z;43.1;34.5;0.00
2024-01-02T05:00:00Z;43.1;34.0;0.00
2024-01-02T06:00:00Z;43.2;33.5;0.00
2024-01-02T07:00:00Z;43.2;33.1;0.00
2024-01-02T08:00:00Z;43.3;32.7;0.00
2024-01-02T09:00:00Z;43.3;32.3;0.00
2024-01-02T10:00:00Z;43.3;32.3;0.00
2024-01-02T11:00:00Z;43.3;32.3;0.00
2024-01-02T12:00:00Z;43.3;32.3;0.00
2024-01-02T13:00:00Z;43.3;32.3;0.00
2024-01-02T14:00:00Z;43.3;32.3;0.09
2024-01-02T15:00:00Z;43.3;32.3;0.22
2024-01-02T16:00:00Z;43.3;32.3;0.36
2024-01-02T17:00:00Z;43.3;32.3;0.46
2024-01-02T18:00:00Z;43.3;32.3;0.53
2024-01-02T19:00:00Z;43.3;32.3;0.53
2024-01-02T20:00:00Z;43.3;32.3;0.53
2024-01-02T21:00:00Z;43.3;32.3;0.53
2024-01-02T22:00:00Z;41.7;32.4;0.53
2024-01-02T23:00:00Z;40.0;32.6;0.53
2024-01-03T00:00:00Z;40.1;32.6;0.53
2024-01-03T01:00:00Z;40.3;32.6;0.61
2024-01-03T02:00:00Z;40.5;32.6;0.76
2024-01-03T03:00:00Z;40.7;32.5;0.99
2024-01-03T04:00:00Z;40.7;32.5;1.32
2024-01-03T05:00:00Z;40.7;32.5;1.79
2024-01-03T06:00:00Z;40.7;32.5;2.39
2024-01-03T07:00:00Z;40.7;32.5;3.04
2024-01-03T08:00:00Z;40.7;32.5;3.63
2024-01-03T09:00:00Z;40.9;32.5;4.16
2024-01-03T10:00:00Z;40.9;32.6;4.62
2024-01-03T11:00:00Z;40.9;32.7;4.99
2024-01-03T12:00:00Z;40.8;32.7;5.26
2024-01-03T13:00:00Z;40.8;33.3;5.46
2024-01-03T14:00:00Z;40.7;33.8;5.50
2024-01-03T15:00:00Z;40.7;34.2;5.43
2024-01-03T16:00:00Z;40.7;34.2;5.29
2024-01-03T17:00:00Z;40.7;34.2;5.19
2024-01-03T18:00:00Z;40.7;34.2;5.12
2024-01-03T19:00:00Z;40.7;34.2;5.12
2024-01-03T20:00:00Z;40.7;34.2;5.12
2024-01-03T21:00:00Z;40.7;34.2;5.12
2024-01-03T22:00:00Z;40.8;33.4;5.12
2024-01-03T23:00:00Z;40.9;32.7;5.12
2024-01-04T00:00:00Z;40.9;32.0;5.12
2024-01-04T01:00:00Z;41.0;31.3;5.04
2024-01-04T02:00:00Z;41.1;30.6;4.89
2024-01-04T03:00:00Z;41.1;30.0;4.66
2024-01-04T04:00:00Z;41.2;29.6;4.33
2024-01-04T05:00:00Z;41.2;29.2;3.86
2024-01-04T06:00:00Z;41.3;28.9;3.26
2024-01-04T07:00:00Z;41.3;28.8;2.61
2024-01-04T08:00:00Z;41.3;28.7;2.02
2024-01-04T09:00:00Z;41.3;28.6;1.49
2024-01-04T10:00:00Z;41.0;28.6;1.03
2024-01-04T11:00:00Z;40.6;28.7;0.66
2024-01-04T12:00:00Z;40.3;28.7;0.39
2024-01-04T13:00:00Z;38.6;28.9;0.19
2024-01-04T14:00:00Z;37.0;29.0;0.06
2024-01-04T15:00:00Z;35.4;29.2;0.00
2024-01-04T16:00:00Z;35.4;29.2;0.00
2024-01-04T17:00:00Z;37.0;29.0;0.00
2024-01-04T18:00:00Z;39.1;28.8;0.00
2024-01-04T19:00:00Z;40.5;28.7;0.00
2024-01-04T20:00:00Z;41.9;28.5;0.00
2024-01-04T21:00:00Z;43.3;28.4;0.00
2024-01-04T22:00:00Z;43.3;28.4;0.00
2024-01-04T23:00:00Z;43.3;28.4;0.00
2024-01-05T00:00:00Z;43.3;28.4;0.00
2024-01-05T01:00:00Z;43.3;28.4;0.00
2024-01-05T02:00:00Z;43.3;28.4;0.00
2024-01-05T03:00:00Z;43.3;28.4;0.00
2024-01-05T04:00:00Z;43.3;28.4;0.00
2024-01-05T05:00:00Z;43.3;28.4;0.00
2024-01-05T06:00:00Z;43.3;28.4;0.00
2024-01-05T07:00:00Z;43.3;28.4;0.00
2024-01-05T08:00:00Z;43.3;28.4;0.00
2024-01-05T09:00:00Z;43.3;28.4;0.00
2024-01-05T10:00:00Z;43.3;28.6;0.00
2024-01-05T11:00:00Z;43.2;28.8;0.00
2024-01-05T12:00:00Z;43.2;29.0;0.00
2024-01-05T13:00:00Z;43.1;29.7;0.00
2024-01-05T14:00:00Z;43.0;30.5;0.00
2024-01-05T15:00:00Z;43.0;31.3;0.00
2024-01-05T16:00:00Z;42.7;33.4;0.00
2024-01-05T17:00:00Z;42.5;35.5;0.00
2024-01-05T18:00:00Z;44.4;35.7;0.00
2024-01-05T19:00:00Z;44.6;35.7;0.00
2024-01-05T20:00:00Z;44.8;35.7;0.00
2024-01-05T21:00:00Z;45.0;35.7;0.00
2024-01-05T22:00:00Z;45.0;35.7;0.00
2024-01-05T23:00:00Z;45.0;35.7;0.00
2024-01-06T00:00:00Z;45.0;35.7;0.00
2024-01-06T01:00:00Z;45.0;35.7;0.00
2024-01-06T02:00:00Z;45.0;35.7;0.00
2024-01-06T03:00:00Z;45.0;35.7;0.00
2024-01-06T04:00:00Z;45.0;35.7;0.06
2024-01-06T05:00:00Z;45.0;35.7;0.15
2024-01-06T06:00:00Z;45.0;35.7;0.29
2024-01-06T07:00:00Z;45.0;35.7;0.44
2024-01-06T08:00:00Z;45.0;35.7;0.57
