date,max_temp,min_temp,pcp
validdate;t_max_2m_24h:F;t_min_2m_24h:F;precip_24h:mm
2024-01-01T00:00:00Z;54.6;42.2;0.00
2024-01-01T01:00:00Z;54.6;42.2;0.00
2024-01-01T02:00:00Z;54.6;42.2;0.00
2024-01-01T03:00:00Z;54.6;42.2;0.00
2024-01-01T04:00:00Z;54.6;42.2;0.00
2024-01-01T05:00:00Z;54.6;42.2;0.00
2024-01-01T06:00:00Z;54.6;42.2;0.00
2024-01-01T07:00:00Z;54.6;42.2;0.00
2024-01-01T08:00:00Z;54.6;42.2;0.00
2024-01-01T09:00:00Z;54.6;42.2;0.00
2024-01-01T10:00:00Z;54.6;42.2;0.00
2024-01-01T11:00:00Z;54.6;42.2;0.00
2024-01-01T12:00:00Z;54.6;42.2;0.00
2024-01-01T13:00:00Z;54.6;42.6;0.00
2024-01-01T14:00:00Z;54.5;43.0;0.00
2024-01-01T15:00:00Z;54.5;43.3;0.00
2024-01-01T16:00:00Z;54.5;43.3;0.00
2024-01-01T17:00:00Z;54.5;43.3;0.00
2024-01-01T18:00:00Z;57.4;43.0;0.00
2024-01-01T19:00:00Z;58.3;42.9;0.00
2024-01-01T20:00:00Z;59.3;42.7;0.00
2024-01-01T21:00:00Z;60.3;42.6;0.00
2024-01-01T22:00:00Z;60.3;42.6;0.00
2024-01-01T23:00:00Z;60.3;42.6;0.00
2024-01-02T00:00:00Z;60.3;42.6;0.00
2024-01-02T01:00:00Z;60.3;42.6;0.00
2024-01-02T02:00:00Z;60.3;42.6;0.00
2024-01-02T03:00:00Z;60.3;42.6;0.00
2024-01-02T04:00:00Z;60.3;42.6;0.00
2024-01-02T05:00:00Z;60.3;42.6;0.00
2024-01-02T06:00:00Z;60.3;42.3;0.00
2024-01-02T07:00:00Z;60.3;42.3;0.00
2024-01-02T08:00:00Z;60.3;42.3;0.00
2024-01-02T09:00:00Z;60.3;42.3;0.00
2024-01-02T10:00:00Z;60.3;42.3;0.00
2024-01-02T11:00:00Z;60.3;42.3;0.00
2024-01-02T12:00:00Z;60.3;42.3;0.00
2024-01-02T13:00:00Z;60.3;42.3;0.00
2024-01-02T14:00:00Z;60.3;42.3;0.00
2024-01-02T15:00:00Z;60.3;42.3;0.00
2024-01-02T16:00:00Z;60.3;42.3;0.00
2024-01-02T17:00:00Z;60.3;42.3;0.00
2024-01-02T18:00:00Z;60.6;42.2;0.00
2024-01-02T19:00:00Z;61.8;42.1;0.00
2024-01-02T20:00:00Z;62.9;42.0;0.00
2024-01-02T21:00:00Z;64.1;41.9;0.00
2024-01-02T22:00:00Z;64.1;41.9;0.00
2024-01-02T23:00:00Z;64.1;41.9;0.00
2024-01-03T00:00:00Z;64.1;41.9;0.00
2024-01-03T01:00:00Z;64.1;41.9;0.00
2024-01-03T02:00:00Z;64.1;41.9;0.00
2024-01-03T03:00:00Z;64.1;41.9;0.00
2024-01-03T04:00:00Z;64.1;41.9;0.00
2024-01-03T05:00:00Z;64.1;41.9;0.00
2024-01-03T06:00:00Z;64.1;41.9;0.00
2024-01-03T07:00:00Z;64.1;42.0;0.00
2024-01-03T08:00:00Z;64.1;42.1;0.00
2024-01-03T09:00:00Z;64.1;42.2;0.07
2024-01-03T10:00:00Z;64.0;42.5;0.13
2024-01-03T11:00:00Z;64.0;42.7;0.13
2024-01-03T12:00:00Z;64.0;43.0;0.13
2024-01-03T13:00:00Z;63.8;44.4;0.13
2024-01-03T14:00:00Z;63.7;45.8;0.13
2024-01-03T15:00:00Z;63.5;47.1;0.13
2024-01-03T16:00:00Z;63.1;50.9;0.13
2024-01-03T17:00:00Z;62.7;54.7;0.13
2024-01-03T18:00:00Z;62.7;54.8;0.13
2024-01-03T19:00:00Z;62.8;54.3;0.13
2024-01-03T20:00:00Z;62.8;53.8;0.13
2024-01-03T21:00:00Z;62.9;53.3;0.13
2024-01-03T22:00:00Z;62.2;51.4;0.13
2024-01-03T23:00:00Z;62.2;49.5;0.13
2024-01-04T00:00:00Z;62.4;47.5;0.13
2024-01-04T01:00:00Z;62.6;46.2;0.13
2024-01-04T02:00:00Z;62.7;44.9;0.13
2024-01-04T03:00:00Z;62.9;43.6;0.13
2024-01-04T04:00:00Z;63.0;42.5;0.13
2024-01-04T05:00:00Z;63.1;41.4;0.13
2024-01-04T06:00:00Z;63.2;40.4;0.13
2024-01-04T07:00:00Z;63.4;39.0;0.13
2024-01-04T08:00:00Z;63.5;37.7;0.13
2024-01-04T09:00:00Z;63.6;36.4;0.07
2024-01-04T10:00:00Z;63.2;35.2;0.00
2024-01-04T11:00:00Z;62.7;34.0;0.00
2024-01-04T12:00:00Z;62.3;32.9;0.00
2024-01-04T13:00:00Z;61.1;33.0;0.00
2024-01-04T14:00:00Z;59.9;33.1;0.00
2024-01-04T15:00:00Z;58.7;33.3;0.00
2024-01-04T16:00:00Z;58.4;33.3;0.00
2024-01-04T17:00:00Z;58.2;33.3;0.00
2024-01-04T18:00:00Z;58.0;33.3;0.00
2024-01-04T19:00:00Z;57.5;33.4;0.00
2024-01-04T20:00:00Z;57.0;33.4;0.00
2024-01-04T21:00:00Z;57.9;33.3;0.00
2024-01-04T22:00:00Z;57.9;33.3;0.00
2024-01-04T23:00:00Z;57.9;33.3;0.00
2024-01-05T00:00:00Z;57.9;33.3;0.00
2024-01-05T01:00:00Z;57.9;33.3;0.00
2024-01-05T02:00:00Z;57.9;33.3;0.00
2024-01-05T03:00:00Z;57.9;33.3;0.00
2024-01-05T04:00:00Z;57.9;33.3;0.00
2024-01-05T05:00:00Z;57.9;33.3;0.00
2024-01-05T06:00:00Z;57.9;33.3;0.00
2024-01-05T07:00:00Z;57.9;33.3;0.00
2024-01-05T08:00:00Z;57.9;33.3;0.00
2024-01-05T09:00:00Z;57.9;33.3;0.00
2024-01-05T10:00:00Z;57.9;33.3;0.00
2024-01-05T11:00:00Z;57.9;33.3;0.00
2024-01-05T12:00:00Z;57.9;33.3;0.00
2024-01-05T13:00:00Z;57.7;35.5;0.00
2024-01-05T14:00:00Z;57.4;37.7;0.00
