date,max_temp,min_temp,pcp
validdate;t_max_2m_24h:F;t_min_2m_24h:F;precip_24h:mm
2024-01-01T00:00:00Z;27.7;14.5;0.61
2024-01-01T01:00:00Z;27.7;14.5;0.80
2024-01-01T02:00:00Z;27.7;14.5;1.01
2024-01-01T03:00:00Z;27.8;14.4;1.22
2024-01-01T04:00:00Z;28.2;14.4;1.44
2024-01-01T05:00:00Z;28.6;14.4;1.65
2024-01-01T06:00:00Z;28.9;14.3;1.85
2024-01-01T07:00:00Z;29.2;14.3;2.04
2024-01-01T08:00:00Z;29.5;14.3;2.20
2024-01-01T09:00:00Z;29.7;14.2;2.33
2024-01-01T10:00:00Z;30.0;14.2;2.44
2024-01-01T11:00:00Z;30.3;14.2;2.55
2024-01-01T12:00:00Z;30.6;14.2;2.65
2024-01-01T13:00:00Z;31.2;15.6;2.75
2024-01-01T14:00:00Z;31.9;17.0;2.87
2024-01-01T15:00:00Z;32.5;18.5;3.01
2024-01-01T16:00:00Z;32.6;20.9;3.15
2024-01-01T17:00:00Z;32.8;23.3;3.31
2024-01-01T18:00:00Z;33.1;24.1;3.48
2024-01-01T19:00:00Z;33.1;24.1;3.64
2024-01-01T20:00:00Z;33.1;24.1;3.74
2024-01-01T21:00:00Z;33.1;24.1;3.79
2024-01-01T22:00:00Z;33.1;24.2;3.82
2024-01-01T23:00:00Z;33.1;24.4;3.82
2024-01-02T00:00:00Z;33.1;24.5;3.81
2024-01-02T01:00:00Z;33.0;24.9;3.80
2024-01-02T02:00:00Z;33.0;24.9;3.78
2024-01-02T03:00:00Z;33.2;23.6;3.77
2024-01-02T04:00:00Z;33.3;22.4;3.75
2024-01-02T05:00:00Z;33.4;21.3;3.70
2024-01-02T06:00:00Z;33.5;20.2;3.64
2024-01-02T07:00:00Z;33.6;19.2;3.56
2024-01-02T08:00:00Z;33.7;18.3;3.49
2024-01-02T09:00:00Z;33.9;17.3;3.42
2024-01-02T10:00:00Z;34.0;16.1;3.31
2024-01-02T11:00:00Z;34.1;15.0;3.20
2024-01-02T12:00:00Z;34.2;13.8;3.10
2024-01-02T13:00:00Z;34.3;13.3;3.00
2024-01-02T14:00:00Z;34.3;12.8;2.88
2024-01-02T15:00:00Z;34.4;12.3;2.74
2024-01-02T16:00:00Z;34.4;12.3;2.60
2024-01-02T17:00:00Z;34.4;12.3;2.44
2024-01-02T18:00:00Z;34.4;12.3;2.28
2024-01-02T19:00:00Z;33.8;11.8;2.11
2024-01-02T20:00:00Z;33.3;10.5;1.95
2024-01-02T21:00:00Z;32.9;9.1;1.80
2024-01-02T22:00:00Z;32.1;7.4;1.65
2024-01-02T23:00:00Z;31.3;5.7;1.49
2024-01-03T00:00:00Z;30.6;4.0;1.33
2024-01-03T01:00:00Z;29.3;3.4;1.15
2024-01-03T02:00:00Z;28.1;2.8;0.97
2024-01-03T03:00:00Z;26.9;2.2;0.76
2024-01-03T04:00:00Z;25.8;2.3;0.56
2024-01-03T05:00:00Z;24.6;2.4;0.40
2024-01-03T06:00:00Z;23.5;2.6;0.26
2024-01-03T07:00:00Z;22.5;2.7;0.15
2024-01-03T08:00:00Z;21.6;2.8;0.06
2024-01-03T09:00:00Z;20.6;2.9;0.00
2024-01-03T10:00:00Z;19.5;3.0;0.00
2024-01-03T11:00:00Z;18.3;3.1;0.00
2024-01-03T12:00:00Z;17.1;3.2;0.00
2024-01-03T13:00:00Z;16.7;3.3;0.00
2024-01-03T14:00:00Z;18.8;3.1;0.00
2024-01-03T15:00:00Z;21.8;2.8;0.00
2024-01-03T16:00:00Z;23.9;2.5;0.00
2024-01-03T17:00:00Z;26.0;2.3;0.00
2024-01-03T18:00:00Z;28.1;2.1;0.00
2024-01-03T19:00:00Z;28.1;2.1;0.00
2024-01-03T20:00:00Z;28.1;2.1;0.09
2024-01-03T21:00:00Z;28.1;2.1;0.22
2024-01-03T22:00:00Z;28.1;2.1;0.45
2024-01-03T23:00:00Z;28.1;2.1;0.81
2024-01-04T00:00:00Z;28.1;2.1;1.32
2024-01-04T01:00:00Z;28.2;2.1;2.03
2024-01-04T02:00:00Z;29.1;2.0;3.05
2024-01-04T03:00:00Z;30.1;1.9;4.36
2024-01-04T04:00:00Z;31.8;1.8;5.75
2024-01-04T05:00:00Z;33.4;1.7;7.02
2024-01-04T06:00:00Z;35.0;1.6;8.16
2024-01-04T07:00:00Z;36.5;2.4;9.07
2024-01-04T08:00:00Z;38.0;3.2;9.64
2024-01-04T09:00:00Z;39.4;4.0;9.87
2024-01-04T10:00:00Z;39.2;5.7;9.93
2024-01-04T11:00:00Z;39.1;7.3;9.93
2024-01-04T12:00:00Z;38.9;9.0;9.93
2024-01-04T13:00:00Z;38.6;12.0;9.93
2024-01-04T14:00:00Z;38.2;15.0;9.93
2024-01-04T15:00:00Z;37.9;18.0;9.93
2024-01-04T16:00:00Z;37.7;20.1;9.93
2024-01-04T17:00:00Z;37.5;22.2;9.93
2024-01-04T18:00:00Z;37.4;23.2;9.93
2024-01-04T19:00:00Z;37.4;23.2;9.93
2024-01-04T20:00:00Z;37.4;23.2;9.84
2024-01-04T21:00:00Z;37.4;23.2;9.71
2024-01-04T22:00:00Z;37.4;22.4;9.48
2024-01-04T23:00:00Z;37.6;20.9;9.12
2024-01-05T00:00:00Z;37.8;19.4;8.62
2024-01-05T01:00:00Z;37.9;18.4;7.90
2024-01-05T02:00:00Z;38.0;17.4;6.88
2024-01-05T03:00:00Z;38.1;16.4;5.57
2024-01-05T04:00:00Z;38.2;15.3;4.18
2024-01-05T05:00:00Z;38.3;14.2;2.92
2024-01-05T06:00:00Z;38.5;13.0;1.77
2024-01-05T07:00:00Z;38.5;13.0;0.86
2024-01-05T08:00:00Z;38.5;13.0;0.29
2024-01-05T09:00:00Z;38.5;13.0;0.06
2024-01-05T10:00:00Z;37.7;13.1;0.00
2024-01-05T11:00:00Z;36.9;12.9;0.07
2024-01-05T12:00:00Z;36.2;12.6;0.16
2024-01-05T13:00:00Z;35.0;12.7;0.26
2024-01-05T14:00:00Z;33.9;12.9;0.36
2024-01-05T15:00:00Z;32.7;13.0;0.45
2024-01-05T16:00:00Z;32.3;13.0;0.54
2024-01-05T17:00:00Z;31.9;13.1;0.61
2024-01-05T18:00:00Z;31.5;13.1;0.67
2024-01-05T19:00:00Z;29.8;13.3;0.73
2024-01-05T20:00:00Z;28.2;13.5;0.73
2024-01-05T21:00:00Z;27.5;13.5;0.73
2024-01-05T22:00:00Z;27.9;13.5;0.73
2024-01-05T23:00:00Z;28.2;13.5;0.73
2024-01-06T00:00:00Z;28.6;13.4;0.73
2024-01-06T01:00:00Z;28.8;13.4;0.73
2024-01-06T02:00:00Z;29.0;13.4;0.73
2024-01-06T03:00:00Z;29.2;13.4;0.73
2024-01-06T04:00:00Z;29.2;13.4;0.73
2024-01-06T05:00:00Z;29.2;13.4;0.73
2024-01-06T06:00:00Z;29.2;13.4;0.73
2024-01-06T07:00:00Z;29.2;13.4;0.73
2024-01-06T08:00:00Z;29.2;13.4;0.73
2024-01-06T09:00:00Z;29.2;13.4;0.73
2024-01-06T10:00:00Z;29.2;13.4;0.73
2024-01-06T11:00:00Z;29.2;13.4;0.66
2024-01-06T12:00:00Z;29.2;13.4;0.57
2024-01-06T13:00:00Z;28.9;15.7;0.47
2024-01-06T14:00:00Z;28.7;18.0;0.37
2024-01-06T15:00:00Z;28.6;18.8;0.28
2024-01-06T16:00:00Z;28.6;18.8;0.19
2024-01-06T17:00:00Z;28.6;18.8;0.11
2024-01-06T18:00:00Z;28.6;18.8;0.05
2024-01-06T19:00:00Z;28.6;18.8;0.00
2024-01-06T20:00:00Z;28.7;18.3;0.00
2024-01-06T21:00:00Z;28.8;17.4;0.00
2024-01-06T22:00:00Z;28.9;16.3;0.00
2024-01-06T23:00:00Z;29.0;15.1;0.00
2024-01-07T00:00:00Z;29.1;14.0;0.00
2024-01-07T01:00:00Z;29.2;12.8;0.00
2024-01-07T02:00:00Z;29.4;11.7;0.00
2024-01-07T03:00:00Z;29.5;10.5;0.00
2024-01-07T04:00:00Z;29.2;10.4;0.00
2024-01-07T05:00:00Z;28.9;10.4;0.00
2024-01-07T06:00:00Z;28.6;10.3;0.00
2024-01-07T07:00:00Z;27.7;10.4;0.00
2024-01-07T08:00:00Z;26.9;10.5;0.00
2024-01-07T09:00:00Z;26.0;10.6;0.00
2024-01-07T10:00:00Z;24.7;10.8;0.00
2024-01-07T11:00:00Z;23.3;10.9;0.00
2024-01-07T12:00:00Z;22.1;11.0;0.00
2024-01-07T13:00:00Z;22.1;11.0;0.00
2024-01-07T14:00:00Z;22.1;11.0;0.00
2024-01-07T15:00:00Z;22.6;11.0;0.00
2024-01-07T16:00:00Z;24.6;10.8;0.00
2024-01-07T17:00:00Z;26.6;10.5;0.00
2024-01-07T18:00:00Z;28.6;10.3;0.00
2024-01-07T19:00:00Z;28.6;10.3;0.00
2024-01-07T20:00:00Z;28.6;10.3;0.00
2024-01-07T21:00:00Z;28.6;10.3;0.00
2024-01-07T22:00:00Z;28.6;10.3;0.00
2024-01-07T23:00:00Z;28.6;10.3;0.00
2024-01-08T00:00:00Z;28.6;10.3;0.00
2024-01-08T01:00:00Z;28.6;10.3;0.00
2024-01-08T02:00:00Z;28.6;10.3;0.00
2024-01-08T03:00:00Z;28.6;10.3;0.00
2024-01-08T04:00:00Z;28.6;10.3;0.00
2024-01-08T05:00:00Z;28.6;10.3;0.00
2024-01-08T06:00:00Z;28.6;10.3;0.00
2024-01-08T07:00:00Z;28.6;10.6;0.00
2024-01-08T08:00:00Z;28.6;10.9;0.00
2024-01-08T09:00:00Z;28.6;11.2;0.00
2024-01-08T10:00:00Z;28.5;11.5;0.00
2024-01-08T11:00:00Z;28.5;11.7;0.00
2024-01-08T12:00:00Z;28.8;11.9;0.00
2024-01-08T13:00:00Z;30.4;14.7;0.00
2024-01-08T14:00:00Z;32.0;17.4;0.00
2024-01-08T15:00:00Z;33.5;20.2;0.05
2024-01-08T16:00:00Z;34.2;22.1;0.10
2024-01-08T17:00:00Z;34.9;24.0;0.10
2024-01-08T18:00:00Z;35.7;25.0;0.10
2024-01-08T19:00:00Z;35.7;25.0;0.10
2024-01-08T20:00:00Z;35.7;25.0;0.10
2024-01-08T21:00:00Z;35.7;25.0;0.10
2024-01-08T22:00:00Z;35.7;25.0;0.10
2024-01-08T23:00:00Z;35.7;25.0;0.10
