date,max_temp,min_temp,pcp
validdate;t_max_2m_24h:F;t_min_2m_24h:F;precip_24h:mm
2024-01-01T00:00:00Z;46.5;35.5;0.00
2024-01-01T01:00:00Z;46.5;35.5;0.00
2024-01-01T02:00:00Z;46.5;35.5;0.00
2024-01-01T03:00:00Z;46.5;35.5;0.00
2024-01-01T04:00:00Z;46.5;35.5;0.00
2024-01-01T05:00:00Z;46.5;35.5;0.00
2024-01-01T06:00:00Z;46.5;35.5;0.00
2024-01-01T07:00:00Z;46.5;35.5;0.00
2024-01-01T08:00:00Z;46.5;35.5;0.00
2024-01-01T09:00:00Z;46.5;35.5;0.00
2024-01-01T10:00:00Z;46.5;35.5;0.00
2024-01-01T11:00:00Z;46.5;35.5;0.00
2024-01-01T12:00:00Z;46.5;35.5;0.00
2024-01-01T13:00:00Z;46.5;35.7;0.00
2024-01-01T14:00:00Z;46.5;35.8;0.00
2024-01-01T15:00:00Z;46.5;35.8;0.00
2024-01-01T16:00:00Z;46.5;35.8;0.00
2024-01-01T17:00:00Z;46.5;35.8;0.00
2024-01-01T18:00:00Z;46.5;35.8;0.00
2024-01-01T19:00:00Z;46.5;35.8;0.00
2024-01-01T20:00:00Z;46.5;35.8;0.00
2024-01-01T21:00:00Z;47.1;35.8;0.00
2024-01-01T22:00:00Z;47.1;35.8;0.00
2024-01-01T23:00:00Z;47.1;35.8;0.00
2024-01-02T00:00:00Z;47.1;35.8;0.00
2024-01-02T01:00:00Z;47.1;35.8;0.00
2024-01-02T02:00:00Z;47.1;35.8;0.00
2024-01-02T03:00:00Z;47.1;35.8;0.00
2024-01-02T04:00:00Z;47.1;35.8;0.00
2024-01-02T05:00:00Z;47.1;35.8;0.00
2024-01-02T06:00:00Z;47.1;35.8;0.00
2024-01-02T07:00:00Z;47.1;35.8;0.00
2024-01-02T08:00:00Z;47.1;35.8;0.00
2024-01-02T09:00:00Z;47.1;35.8;0.00
2024-01-02T10:00:00Z;47.1;35.8;0.00
2024-01-02T11:00:00Z;47.1;35.8;0.00
2024-01-02T12:00:00Z;47.1;35.8;0.00
2024-01-02T13:00:00Z;47.1;35.8;0.00
2024-01-02T14:00:00Z;47.1;35.8;0.00
2024-01-02T15:00:00Z;47.1;35.8;0.00
2024-01-02T16:00:00Z;47.1;35.8;0.00
2024-01-02T17:00:00Z;47.1;35.8;0.00
2024-01-02T18:00:00Z;47.3;35.8;0.00
2024-01-02T19:00:00Z;48.9;35.6;0.00
2024-01-02T20:00:00Z;50.5;35.5;0.00
2024-01-02T21:00:00Z;52.0;35.3;0.00
2024-01-02T22:00:00Z;52.0;35.3;0.00
2024-01-02T23:00:00Z;52.0;35.3;0.00
2024-01-03T00:00:00Z;52.0;35.3;0.00
2024-01-03T01:00:00Z;52.0;35.3;0.06
2024-01-03T02:00:00Z;52.0;35.3;0.18
2024-01-03T03:00:00Z;52.0;35.3;0.35
2024-01-03T04:00:00Z;52.0;35.3;0.55
2024-01-03T05:00:00Z;52.0;35.3;0.75
2024-01-03T06:00:00Z;52.0;35.3;0.97
2024-01-03T07:00:00Z;52.0;35.6;1.17
2024-01-03T08:00:00Z;52.0;35.8;1.35
2024-01-03T09:00:00Z;51.9;36.1;1.51
2024-01-03T10:00:00Z;51.9;36.2;1.64
2024-01-03T11:00:00Z;52.0;35.2;1.73
2024-01-03T12:00:00Z;52.3;33.2;1.79
2024-01-03T13:00:00Z;52.3;33.0;1.79
2024-01-03T14:00:00Z;52.3;32.7;1.79
2024-01-03T15:00:00Z;52.3;32.4;1.79
2024-01-03T16:00:00Z;52.3;32.4;1.79
2024-01-03T17:00:00Z;52.3;32.4;1.79
2024-01-03T18:00:00Z;52.3;32.4;1.79
2024-01-03T19:00:00Z;52.3;32.4;1.79
2024-01-03T20:00:00Z;52.3;32.4;1.79
2024-01-03T21:00:00Z;52.3;32.4;1.79
2024-01-03T22:00:00Z;50.7;32.6;1.79
2024-01-03T23:00:00Z;49.0;32.7;1.79
2024-01-04T00:00:00Z;47.4;32.9;1.79
2024-01-04T01:00:00Z;47.1;33.0;1.72
2024-01-04T02:00:00Z;46.8;33.0;1.61
2024-01-04T03:00:00Z;46.5;33.0;1.44
2024-01-04T04:00:00Z;46.5;33.0;1.24
2024-01-04T05:00:00Z;46.5;33.0;1.03
2024-01-04T06:00:00Z;46.5;33.0;0.82
2024-01-04T07:00:00Z;44.7;33.2;0.61
2024-01-04T08:00:00Z;42.9;33.4;0.43
2024-01-04T09:00:00Z;41.6;33.5;0.27
2024-01-04T10:00:00Z;41.6;33.5;0.15
2024-01-04T11:00:00Z;41.6;33.5;0.05
2024-01-04T12:00:00Z;41.6;33.5;0.00
2024-01-04T13:00:00Z;41.6;33.5;0.00
2024-01-04T14:00:00Z;41.6;33.5;0.00
2024-01-04T15:00:00Z;41.6;33.5;0.00
2024-01-04T16:00:00Z;41.6;33.6;0.00
2024-01-04T17:00:00Z;41.6;33.6;0.00
2024-01-04T18:00:00Z;44.3;33.4;0.00
2024-01-04T19:00:00Z;45.8;33.2;0.00
2024-01-04T20:00:00Z;47.4;33.0;0.00
2024-01-04T21:00:00Z;48.9;32.9;0.00
2024-01-04T22:00:00Z;48.9;32.9;0.00
2024-01-04T23:00:00Z;48.9;32.9;0.00
2024-01-05T00:00:00Z;48.9;32.9;0.00
2024-01-05T01:00:00Z;48.9;32.9;0.00
2024-01-05T02:00:00Z;48.9;32.9;0.00
2024-01-05T03:00:00Z;48.9;32.9;0.00
2024-01-05T04:00:00Z;48.9;32.9;0.00
2024-01-05T05:00:00Z;48.9;32.9;0.00
2024-01-05T06:00:00Z;48.9;32.9;0.00
2024-01-05T07:00:00Z;48.9;32.9;0.00
2024-01-05T08:00:00Z;48.9;32.9;0.00
2024-01-05T09:00:00Z;48.9;32.9;0.00
2024-01-05T10:00:00Z;48.9;32.9;0.00
2024-01-05T11:00:00Z;48.9;32.9;0.00
2024-01-05T12:00:00Z;48.9;32.9;0.00
2024-01-05T13:00:00Z;48.9;33.5;0.00
2024-01-05T14:00:00Z;48.8;34.0;0.00
2024-01-05T15:00:00Z;48.8;34.5;0.00
2024-01-05T16:00:00Z;48.5;37.3;0.00
2024-01-05T17:00:00Z;48.3;39.1;0.00
2024-01-05T18:00:00Z;49.2;39.0;0.00
2024-01-05T19:00:00Z;49.8;38.9;0.00
2024-01-05T20:00:00Z;50.4;38.9;0.00
2024-01-05T21:00:00Z;51.1;38.8;0.00
2024-01-05T22:00:00Z;51.1;38.8;0.00
2024-01-05T23:00:00Z;51.1;38.8;0.00
2024-01-06T00:00:00Z;51.1;38.8;0.00
2024-01-06T01:00:00Z;51.1;38.8;0.00
2024-01-06T02:00:00Z;51.1;38.8;0.00
2024-01-06T03:00:00Z;51.1;38.8;0.00
2024-01-06T04:00:00Z;51.1;38.8;0.00
2024-01-06T05:00:00Z;51.1;38.8;0.00
2024-01-06T06:00:00Z;51.1;38.8;0.00
2024-01-06T07:00:00Z;51.1;38.8;0.00
2024-01-06T08:00:00Z;51.1;38.8;0.00
2024-01-06T09:00:00Z;51.1;38.8;0.00
2024-01-06T10:00:00Z;51.1;38.8;0.00
2024-01-06T11:00:00Z;51.1;38.8;0.00
2024-01-06T12:00:00Z;51.1;38.8;0.00
2024-01-06T13:00:00Z;51.0;39.1;0.00
2024-01-06T14:00:00Z;51.0;39.5;0.00
2024-01-06T15:00:00Z;51.0;39.8;0.00
2024-01-06T16:00:00Z;50.9;40.4;0.00
2024-01-06T17:00:00Z;50.9;40.4;0.00
2024-01-06T18:00:00Z;51.9;40.3;0.00
2024-01-06T19:00:00Z;52.8;40.2;0.00
2024-01-06T20:00:00Z;53.7;40.1;0.00
2024-01-06T21:00:00Z;54.6;40.0;0.00
2024-01-06T22:00:00Z;54.6;40.0;0.00
2024-01-06T23:00:00Z;54.6;40.0;0.00
2024-01-07T00:00:00Z;54.6;40.0;0.00
2024-01-07T01:00:00Z;54.6;40.0;0.00
2024-01-07T02:00:00Z;54.6;40.0;0.00
2024-01-07T03:00:00Z;54.6;40.0;0.00
2024-01-07T04:00:00Z;54.6;40.0;0.00
2024-01-07T05:00:00Z;54.6;40.0;0.00
2024-01-07T06:00:00Z;54.6;40.0;0.00
2024-01-07T07:00:00Z;54.6;40.0;0.00
2024-01-07T08:00:00Z;54.6;40.0;0.00
2024-01-07T09:00:00Z;54.7;39.3;0.00
2024-01-07T10:00:00Z;54.8;38.7;0.00
2024-01-07T11:00:00Z;54.8;38.0;0.00
2024-01-07T12:00:00Z;54.9;37.3;0.00
2024-01-07T13:00:00Z;54.9;37.2;0.00
2024-01-07T14:00:00Z;54.9;37.1;0.00
2024-01-07T15:00:00Z;54.9;37.0;0.00
2024-01-07T16:00:00Z;54.9;37.0;0.00
2024-01-07T17:00:00Z;54.9;37.0;0.00
2024-01-07T18:00:00Z;54.9;37.0;0.00
2024-01-07T19:00:00Z;54.9;37.0;0.00
2024-01-07T20:00:00Z;54.9;37.0;0.00
2024-01-07T21:00:00Z;54.9;37.0;0.00
2024-01-07T22:00:00Z;52.8;37.3;0.00
2024-01-07T23:00:00Z;50.6;37.5;0.00
2024-01-08T00:00:00Z;48.5;37.7;0.00
2024-01-08T01:00:00Z;47.5;37.8;0.00
2024-01-08T02:00:00Z;46.6;37.9;0.00
2024-01-08T03:00:00Z;45.7;37.5;0.06
2024-01-08T04:00:00Z;45.1;36.6;0.15
2024-01-08T05:00:00Z;44.6;35.8;0.29
2024-01-08T06:00:00Z;44.7;34.8;0.48
2024-01-08T07:00:00Z;44.8;33.9;0.75
2024-01-08T08:00:00Z;44.9;32.9;1.14
2024-01-08T09:00:00Z;45.0;31.9;1.64
2024-01-08T10:00:00Z;45.1;31.5;2.16
2024-01-08T11:00:00Z;45.1;31.2;2.61
2024-01-08T12:00:00Z;45.1;30.8;2.98
2024-01-08T13:00:00Z;45.1;30.8;3.26
2024-01-08T14:00:00Z;45.1;30.8;3.44
2024-01-08T15:00:00Z;45.1;30.8;3.52
2024-01-08T16:00:00Z;45.1;30.8;3.52
2024-01-08T17:00:00Z;45.1;30.8;3.52
2024-01-08T18:00:00Z;45.1;30.8;3.52
2024-01-08T19:00:00Z;45.1;30.8;3.52
2024-01-08T20:00:00Z;45.1;30.8;3.52
2024-01-08T21:00:00Z;45.1;30.8;3.52
2024-01-08T22:00:00Z;43.6;30.9;3.52
2024-01-08T23:00:00Z;42.1;31.1;3.52
2024-01-09T00:00:00Z;40.5;31.3;3.52
2024-01-09T01:00:00Z;40.0;31.3;3.52
2024-01-09T02:00:00Z;39.7;31.3;3.52
2024-01-09T03:00:00Z;39.7;31.0;3.46
2024-01-09T04:00:00Z;39.8;30.5;3.36
2024-01-09T05:00:00Z;39.8;30.1;3.22
2024-01-09T06:00:00Z;39.9;29.6;3.03
2024-01-09T07:00:00Z;39.9;29.4;2.76
2024-01-09T08:00:00Z;39.9;29.2;2.38
2024-01-09T09:00:00Z;39.9;28.9;1.87
2024-01-09T10:00:00Z;40.0;28.7;1.35
2024-01-09T11:00:00Z;40.0;28.5;0.91
2024-01-09T12:00:00Z;40.0;28.3;0.53
2024-01-09T13:00:00Z;40.0;28.3;0.25
2024-01-09T14:00:00Z;40.0;28.3;0.07
2024-01-09T15:00:00Z;40.0;28.3;0.00
2024-01-09T16:00:00Z;40.0;28.3;0.00
2024-01-09T17:00:00Z;40.0;28.3;0.00
2024-01-09T18:00:00Z;40.0;28.3;0.00
2024-01-09T19:00:00Z;40.0;28.3;0.00
2024-01-09T20:00:00Z;40.0;28.3;0.00
2024-01-09T21:00:00Z;40.8;28.2;0.00
2024-01-09T22:00:00Z;40.8;28.2;0.00
2024-01-09T23:00:00Z;40.8;28.2;0.00
2024-01-10T00:00:00Z;40.8;28.2;0.00
2024-01-10T01:00:00Z;40.8;28.2;0.00
2024-01-10T02:00:00Z;40.8;28.2;0.00
2024-01-10T03:00:00Z;40.8;28.2;0.00
2024-01-10T04:00:00Z;40.8;28.2;0.00
2024-01-10T05:00:00Z;40.8;28.2;0.00
2024-01-10T06:00:00Z;40.8;28.2;0.00
2024-01-10T07:00:00Z;40.8;28.2;0.00
2024-01-10T08:00:00Z;40.8;28.2;0.00
2024-01-10T09:00:00Z;40.8;28.2;0.00
2024-01-10T10:00:00Z;40.8;28.2;0.00
2024-01-10T11:00:00Z;40.8;28.2;0.00
2024-01-10T12:00:00Z;40.8;28.2;0.00
2024-01-10T13:00:00Z;40.7;28.8;0.00
2024-01-10T14:00:00Z;40.7;29.4;0.00
2024-01-10T15:00:00Z;40.6;30.0;0.00
2024-01-10T16:00:00Z;40.4;32.3;0.06
2024-01-10T17:00:00Z;40.3;33.2;0.22
2024-01-10T18:00:00Z;40.3;33.2;0.45
2024-01-10T19:00:00Z;40.3;33.2;0.78
