date,max_temp,min_temp,pcp
validdate;t_max_2m_24h:F;t_min_2m_24h:F;precip_24h:mm
2024-01-01T00:00:00Z;46.3;35.7;0.00
2024-01-01T01:00:00Z;46.3;35.7;0.00
2024-01-01T02:00:00Z;46.3;35.7;0.00
2024-01-01T03:00:00Z;46.3;35.7;0.00
2024-01-01T04:00:00Z;46.3;35.7;0.00
2024-01-01T05:00:00Z;46.3;35.7;0.00
2024-01-01T06:00:00Z;46.3;35.7;0.00
2024-01-01T07:00:00Z;46.3;35.7;0.00
2024-01-01T08:00:00Z;46.3;35.7;0.00
2024-01-01T09:00:00Z;46.4;35.1;0.00
2024-01-01T10:00:00Z;46.4;34.7;0.00
2024-01-01T11:00:00Z;46.5;34.3;0.00
2024-01-01T12:00:00Z;46.5;33.9;0.00
2024-01-01T13:00:00Z;46.6;33.6;0.00
2024-01-01T14:00:00Z;46.6;33.3;0.00
2024-01-01T15:00:00Z;46.6;33.1;0.06
2024-01-01T16:00:00Z;46.6;33.1;0.17
2024-01-01T17:00:00Z;46.6;33.1;0.35
2024-01-01T18:00:00Z;46.6;33.1;0.61
2024-01-01T19:00:00Z;46.6;33.1;0.96
2024-01-01T20:00:00Z;46.6;33.1;1.41
2024-01-01T21:00:00Z;46.6;33.1;1.96
2024-01-01T22:00:00Z;46.1;33.1;2.51
2024-01-01T23:00:00Z;45.5;33.2;2.98
2024-01-02T00:00:00Z;45.1;32.5;3.34
2024-01-02T01:00:00Z;43.9;31.8;3.62
2024-01-02T02:00:00Z;42.7;31.0;3.80
2024-01-02T03:00:00Z;41.5;30.2;3.89
2024-01-02T04:00:00Z;40.7;29.7;3.89
2024-01-02T05:00:00Z;39.9;29.2;3.89
2024-01-02T06:00:00Z;39.2;28.7;3.89
2024-01-02T07:00:00Z;38.5;28.6;3.89
2024-01-02T08:00:00Z;37.8;28.5;3.89
2024-01-02T09:00:00Z;37.1;28.4;3.94
2024-01-02T10:00:00Z;36.7;28.5;3.99
2024-01-02T11:00:00Z;36.7;28.5;3.99
2024-01-02T12:00:00Z;36.7;28.5;3.99
2024-01-02T13:00:00Z;36.7;28.5;3.99
2024-01-02T14:00:00Z;36.7;28.5;3.99
2024-01-02T15:00:00Z;36.7;28.5;3.93
2024-01-02T16:00:00Z;36.7;28.5;3.82
2024-01-02T17:00:00Z;36.7;28.5;3.64
2024-01-02T18:00:00Z;36.7;28.5;3.38
2024-01-02T19:00:00Z;36.6;28.5;3.03
2024-01-02T20:00:00Z;36.6;28.5;2.58
2024-01-02T21:00:00Z;36.5;28.5;2.03
2024-01-02T22:00:00Z;36.2;28.5;1.48
2024-01-02T23:00:00Z;36.2;28.5;1.01
2024-01-03T00:00:00Z;36.2;28.5;0.65
2024-01-03T01:00:00Z;36.2;28.5;0.37
2024-01-03T02:00:00Z;36.2;28.5;0.19
2024-01-03T03:00:00Z;36.2;28.5;0.10
2024-01-03T04:00:00Z;36.2;28.5;0.10
2024-01-03T05:00:00Z;36.2;28.5;0.10
2024-01-03T06:00:00Z;36.2;28.5;0.10
2024-01-03T07:00:00Z;36.2;28.5;0.10
2024-01-03T08:00:00Z;36.2;28.5;0.10
2024-01-03T09:00:00Z;36.2;28.5;0.05
2024-01-03T10:00:00Z;36.2;28.6;0.00
2024-01-03T11:00:00Z;36.2;28.6;0.00
2024-01-03T12:00:00Z;36.2;28.6;0.00
2024-01-03T13:00:00Z;36.2;28.6;0.00
2024-01-03T14:00:00Z;36.2;28.6;0.00
2024-01-03T15:00:00Z;36.2;28.6;0.00
2024-01-03T16:00:00Z;36.1;29.3;0.00
2024-01-03T17:00:00Z;36.1;29.3;0.00
2024-01-03T18:00:00Z;36.1;29.3;0.00
2024-01-03T19:00:00Z;36.1;29.3;0.00
2024-01-03T20:00:00Z;37.9;29.1;0.00
2024-01-03T21:00:00Z;39.7;28.9;0.00
2024-01-03T22:00:00Z;39.7;28.9;0.00
2024-01-03T23:00:00Z;39.7;28.9;0.00
2024-01-04T00:00:00Z;39.7;28.9;0.00
2024-01-04T01:00:00Z;39.7;28.9;0.00
