date,max_temp,min_temp,pcp
validdate;t_max_2m_24h:F;t_min_2m_24h:F;precip_24h:mm
2024-01-01T00:00:00Z;45.8;20.7;0.32
2024-01-01T01:00:00Z;45.8;20.7;0.32
2024-01-01T02:00:00Z;45.8;20.7;0.32
2024-01-01T03:00:00Z;45.8;20.7;0.32
2024-01-01T04:00:00Z;45.8;20.7;0.32
2024-01-01T05:00:00Z;45.8;20.7;0.32
2024-01-01T06:00:00Z;45.8;20.7;0.32
2024-01-01T07:00:00Z;45.8;20.9;0.32
2024-01-01T08:00:00Z;45.8;21.0;0.32
2024-01-01T09:00:00Z;45.8;21.1;0.32
2024-01-01T10:00:00Z;45.8;21.5;0.32
2024-01-01T11:00:00Z;45.7;21.9;0.32
2024-01-01T12:00:00Z;45.7;22.3;0.32
2024-01-01T13:00:00Z;45.2;26.5;0.32
2024-01-01T14:00:00Z;44.8;30.6;0.32
2024-01-01T15:00:00Z;45.5;34.6;0.32
2024-01-01T16:00:00Z;47.1;36.3;0.27
2024-01-01T17:00:00Z;48.9;36.1;0.20
2024-01-01T18:00:00Z;50.7;35.9;0.13
2024-01-01T19:00:00Z;50.7;35.9;0.05
2024-01-01T20:00:00Z;50.7;35.9;0.00
2024-01-01T21:00:00Z;50.7;35.9;0.00
2024-01-01T22:00:00Z;50.7;35.9;0.00
2024-01-01T23:00:00Z;50.7;35.9;0.00
2024-01-02T00:00:00Z;50.7;35.9;0.00
2024-01-02T01:00:00Z;50.7;35.9;0.00
2024-01-02T02:00:00Z;50.7;35.9;0.00
2024-01-02T03:00:00Z;50.7;35.9;0.00
2024-01-02T04:00:00Z;50.7;35.5;0.00
2024-01-02T05:00:00Z;50.8;34.9;0.00
2024-01-02T06:00:00Z;50.9;34.2;0.00
2024-01-02T07:00:00Z;50.9;33.7;0.00
2024-01-02T08:00:00Z;51.0;33.3;0.00
2024-01-02T09:00:00Z;51.0;32.9;0.00
2024-01-02T10:00:00Z;51.0;32.6;0.00
2024-01-02T11:00:00Z;51.1;32.3;0.00
2024-01-02T12:00:00Z;51.1;31.9;0.00
2024-01-02T13:00:00Z;51.1;31.9;0.00
2024-01-02T14:00:00Z;51.1;31.9;0.00
2024-01-02T15:00:00Z;51.1;31.9;0.00
2024-01-02T16:00:00Z;51.1;31.9;0.00
2024-01-02T17:00:00Z;51.1;31.9;0.00
2024-01-02T18:00:00Z;51.1;31.9;0.00
2024-01-02T19:00:00Z;50.1;32.1;0.00
2024-01-02T20:00:00Z;49.0;32.2;0.00
2024-01-02T21:00:00Z;48.0;32.3;0.00
2024-01-02T22:00:00Z;46.0;32.5;0.00
2024-01-02T23:00:00Z;46.0;32.5;0.00
2024-01-03T00:00:00Z;46.0;32.3;0.00
2024-01-03T01:00:00Z;46.0;32.0;0.00
2024-01-03T02:00:00Z;46.1;31.7;0.00
2024-01-03T03:00:00Z;46.1;31.4;0.00
2024-01-03T04:00:00Z;46.1;31.4;0.00
2024-01-03T05:00:00Z;46.1;31.4;0.00
2024-01-03T06:00:00Z;46.1;31.4;0.00
2024-01-03T07:00:00Z;46.1;31.4;0.00
2024-01-03T08:00:00Z;46.1;31.4;0.00
2024-01-03T09:00:00Z;46.1;31.4;0.00
2024-01-03T10:00:00Z;46.1;31.4;0.00
2024-01-03T11:00:00Z;46.1;31.4;0.00
2024-01-03T12:00:00Z;46.1;31.4;0.00
2024-01-03T13:00:00Z;46.1;31.4;0.00
2024-01-03T14:00:00Z;46.1;31.4;0.00
2024-01-03T15:00:00Z;46.1;31.4;0.00
2024-01-03T16:00:00Z;48.2;31.2;0.00
2024-01-03T17:00:00Z;51.8;30.8;0.00
2024-01-03T18:00:00Z;55.5;30.4;0.00
2024-01-03T19:00:00Z;56.1;30.3;0.09
2024-01-03T20:00:00Z;56.6;30.3;0.28
2024-01-03T21:00:00Z;57.2;30.2;0.57
2024-01-03T22:00:00Z;57.2;30.2;1.05
2024-01-03T23:00:00Z;57.2;30.2;1.80
2024-01-04T00:00:00Z;57.2;30.2;2.83
2024-01-04T01:00:00Z;57.2;30.2;3.93
2024-01-04T02:00:00Z;57.2;30.2;4.90
2024-01-04T03:00:00Z;57.2;30.2;5.73
2024-01-04T04:00:00Z;57.2;30.7;6.38
2024-01-04T05:00:00Z;57.1;31.2;6.77
2024-01-04T06:00:00Z;57.1;31.6;6.91
2024-01-04T07:00:00Z;57.0;31.8;6.91
2024-01-04T08:00:00Z;57.0;32.0;6.91
2024-01-04T09:00:00Z;57.0;32.2;6.91
2024-01-04T10:00:00Z;57.0;32.5;6.91
2024-01-04T11:00:00Z;56.9;32.8;6.91
2024-01-04T12:00:00Z;56.9;33.1;6.91
2024-01-04T13:00:00Z;56.6;36.1;6.91
2024-01-04T14:00:00Z;56.3;38.5;6.91
2024-01-04T15:00:00Z;56.3;38.5;6.91
2024-01-04T16:00:00Z;56.3;38.5;6.91
2024-01-04T17:00:00Z;56.3;38.5;6.91
2024-01-04T18:00:00Z;56.3;38.5;6.91
2024-01-04T19:00:00Z;56.3;38.5;6.83
2024-01-04T20:00:00Z;56.3;38.5;6.64
2024-01-04T21:00:00Z;56.3;38.5;6.34
2024-01-04T22:00:00Z;55.4;38.6;5.86
2024-01-04T23:00:00Z;54.5;38.7;5.11
2024-01-05T00:00:00Z;54.5;37.6;4.08
2024-01-05T01:00:00Z;54.6;36.9;2.99
2024-01-05T02:00:00Z;54.7;36.2;2.02
2024-01-05T03:00:00Z;54.8;35.4;1.18
2024-01-05T04:00:00Z;54.7;35.0;0.53
2024-01-05T05:00:00Z;54.7;34.6;0.14
2024-01-05T06:00:00Z;54.7;34.2;0.00
2024-01-05T07:00:00Z;52.5;34.2;0.00
2024-01-05T08:00:00Z;50.4;34.1;0.00
2024-01-05T09:00:00Z;48.3;34.1;0.00
2024-01-05T10:00:00Z;46.7;34.1;0.00
2024-01-05T11:00:00Z;46.7;34.0;0.00
2024-01-05T12:00:00Z;46.7;33.9;0.00
