date,max_temp,min_temp,pcp
validdate;t_max_2m_24h:F;t_min_2m_24h:F;precip_24h:mm
2024-01-01T00:00:00Z;35.8;25.6;1.07
2024-01-01T01:00:00Z;35.8;25.6;1.60
2024-01-01T02:00:00Z;35.8;25.6;2.19
2024-01-01T03:00:00Z;35.8;25.6;2.85
2024-01-01T04:00:00Z;35.8;25.7;3.48
2024-01-01T05:00:00Z;35.8;25.8;4.01
2024-01-01T06:00:00Z;35.8;25.9;4.43
2024-01-01T07:00:00Z;35.8;25.9;4.77
2024-01-01T08:00:00Z;35.7;26.0;5.03
2024-01-01T09:00:00Z;35.7;26.0;5.22
2024-01-01T10:00:00Z;35.7;26.1;5.35
2024-01-01T11:00:00Z;35.7;26.2;5.44
2024-01-01T12:00:00Z;35.7;26.3;5.44
2024-01-01T13:00:00Z;35.6;27.4;5.44
2024-01-01T14:00:00Z;35.5;28.5;5.44
2024-01-01T15:00:00Z;35.4;29.6;5.44
2024-01-01T16:00:00Z;35.2;31.2;5.44
2024-01-01T17:00:00Z;35.1;31.9;5.44
2024-01-01T18:00:00Z;35.1;31.9;5.50
2024-01-01T19:00:00Z;35.1;31.9;5.57
2024-01-01T20:00:00Z;35.1;31.9;5.61
2024-01-01T21:00:00Z;35.1;31.9;5.64
2024-01-01T22:00:00Z;34.6;31.9;5.60
2024-01-01T23:00:00Z;34.2;32.0;5.44
2024-01-02T00:00:00Z;33.7;32.0;5.16
2024-01-02T01:00:00Z;33.7;32.0;4.78
2024-01-02T02:00:00Z;33.7;32.0;4.31
2024-01-02T03:00:00Z;33.7;32.0;3.75
2024-01-02T04:00:00Z;33.7;32.0;3.18
2024-01-02T05:00:00Z;33.7;32.0;2.70
2024-01-02T06:00:00Z;33.7;32.0;2.28
2024-01-02T07:00:00Z;33.7;31.8;1.95
2024-01-02T08:00:00Z;33.8;31.4;1.68
2024-01-02T09:00:00Z;33.8;31.0;1.49
2024-01-02T10:00:00Z;33.8;30.6;1.36
2024-01-02T11:00:00Z;33.9;30.1;1.27
2024-01-02T12:00:00Z;33.9;29.7;1.27
2024-01-02T13:00:00Z;33.9;29.7;1.27
2024-01-02T14:00:00Z;33.9;29.7;1.27
2024-01-02T15:00:00Z;33.9;29.7;1.27
2024-01-02T16:00:00Z;33.9;29.7;1.27
2024-01-02T17:00:00Z;33.9;29.7;1.27
2024-01-02T18:00:00Z;34.3;29.7;1.21
2024-01-02T19:00:00Z;34.5;29.7;1.14
2024-01-02T20:00:00Z;34.6;29.6;1.04
2024-01-02T21:00:00Z;34.8;29.6;0.92
2024-01-02T22:00:00Z;34.8;29.6;0.79
2024-01-02T23:00:00Z;34.8;29.6;0.71
2024-01-03T00:00:00Z;34.8;29.6;0.65
2024-01-03T01:00:00Z;34.8;29.6;0.63
2024-01-03T02:00:00Z;34.8;29.6;0.64
2024-01-03T03:00:00Z;34.8;29.6;0.71
2024-01-03T04:00:00Z;34.8;29.6;0.81
2024-01-03T05:00:00Z;34.8;29.6;0.95
2024-01-03T06:00:00Z;34.8;29.6;1.17
2024-01-03T07:00:00Z;34.8;29.6;1.48
2024-01-03T08:00:00Z;34.8;29.6;1.95
2024-01-03T09:00:00Z;34.8;29.6;2.59
2024-01-03T10:00:00Z;34.8;29.6;3.31
2024-01-03T11:00:00Z;34.8;29.6;4.06
2024-01-03T12:00:00Z;34.8;29.6;4.83
2024-01-03T13:00:00Z;34.7;29.9;5.58
2024-01-03T14:00:00Z;34.8;30.1;6.29
2024-01-03T15:00:00Z;35.4;30.3;6.95
2024-01-03T16:00:00Z;36.4;31.3;7.60
2024-01-03T17:00:00Z;37.3;32.3;8.28
2024-01-03T18:00:00Z;38.4;32.2;8.97
2024-01-03T19:00:00Z;38.7;32.1;9.66
2024-01-03T20:00:00Z;39.1;32.1;10.30
2024-01-03T21:00:00Z;39.5;32.1;10.90
2024-01-03T22:00:00Z;39.5;32.1;11.42
2024-01-03T23:00:00Z;39.5;32.1;11.73
2024-01-04T00:00:00Z;39.5;32.1;11.87
2024-01-04T01:00:00Z;39.5;32.1;11.91
2024-01-04T02:00:00Z;39.5;32.1;11.88
2024-01-04T03:00:00Z;39.5;31.8;11.78
2024-01-04T04:00:00Z;39.6;31.1;11.61
2024-01-04T05:00:00Z;39.6;30.5;11.42
