date,max_temp,min_temp,pcp
validdate;t_max_2m_24h:F;t_min_2m_24h:F;precip_24h:mm
2024-01-01T00:00:00Z;58.5;33.8;0.00
2024-01-01T01:00:00Z;58.5;33.8;0.00
2024-01-01T02:00:00Z;58.5;33.8;0.00
2024-01-01T03:00:00Z;58.5;33.8;0.00
2024-01-01T04:00:00Z;58.5;33.9;0.00
2024-01-01T05:00:00Z;58.5;34.0;0.00
2024-01-01T06:00:00Z;58.5;34.1;0.00
2024-01-01T07:00:00Z;58.5;34.3;0.00
2024-01-01T08:00:00Z;58.4;34.6;0.00
2024-01-01T09:00:00Z;58.4;34.8;0.00
2024-01-01T10:00:00Z;58.4;34.9;0.00
2024-01-01T11:00:00Z;58.4;35.1;0.00
2024-01-01T12:00:00Z;58.4;35.2;0.00
2024-01-01T13:00:00Z;58.3;36.0;0.00
2024-01-01T14:00:00Z;58.2;36.9;0.00
2024-01-01T15:00:00Z;58.1;37.7;0.00
2024-01-01T16:00:00Z;57.8;40.9;0.00
2024-01-01T17:00:00Z;57.8;40.9;0.00
2024-01-01T18:00:00Z;57.8;40.9;0.00
2024-01-01T19:00:00Z;57.8;40.9;0.00
2024-01-01T20:00:00Z;57.8;40.9;0.00
2024-01-01T21:00:00Z;57.8;40.9;0.00
2024-01-01T22:00:00Z;57.5;40.9;0.00
2024-01-01T23:00:00Z;57.5;40.9;0.00
2024-01-02T00:00:00Z;57.5;40.9;0.00
2024-01-02T01:00:00Z;57.5;40.9;0.00
2024-01-02T02:00:00Z;57.5;40.9;0.00
2024-01-02T03:00:00Z;57.5;40.9;0.00
2024-01-02T04:00:00Z;57.5;40.9;0.00
2024-01-02T05:00:00Z;57.5;40.9;0.00
2024-01-02T06:00:00Z;57.5;40.9;0.00
2024-01-02T07:00:00Z;57.5;40.9;0.00
2024-01-02T08:00:00Z;57.5;40.9;0.00
2024-01-02T09:00:00Z;57.5;40.9;0.00
2024-01-02T10:00:00Z;57.5;40.9;0.00
2024-01-02T11:00:00Z;57.5;40.9;0.00
2024-01-02T12:00:00Z;57.5;40.9;0.00
2024-01-02T13:00:00Z;57.5;40.9;0.00
2024-01-02T14:00:00Z;57.5;40.9;0.00
2024-01-02T15:00:00Z;57.5;40.9;0.00
2024-01-02T16:00:00Z;57.5;41.2;0.00
2024-01-02T17:00:00Z;57.5;41.2;0.00
2024-01-02T18:00:00Z;57.5;41.2;0.00
2024-01-02T19:00:00Z;57.5;41.2;0.00
2024-01-02T20:00:00Z;60.0;41.0;0.00
2024-01-02T21:00:00Z;62.7;40.7;0.00
2024-01-02T22:00:00Z;62.7;40.7;0.00
2024-01-02T23:00:00Z;62.7;40.7;0.00
2024-01-03T00:00:00Z;62.7;40.7;0.00
2024-01-03T01:00:00Z;62.7;40.7;0.00
2024-01-03T02:00:00Z;62.7;40.7;0.00
2024-01-03T03:00:00Z;62.7;40.7;0.00
2024-01-03T04:00:00Z;62.7;40.7;0.00
2024-01-03T05:00:00Z;62.7;40.7;0.00
2024-01-03T06:00:00Z;62.7;40.7;0.00
2024-01-03T07:00:00Z;62.7;40.7;0.00
2024-01-03T08:00:00Z;62.7;40.7;0.00
2024-01-03T09:00:00Z;62.7;40.7;0.00
2024-01-03T10:00:00Z;62.7;40.7;0.00
2024-01-03T11:00:00Z;62.8;39.5;0.00
2024-01-03T12:00:00Z;63.0;38.2;0.00
2024-01-03T13:00:00Z;63.0;37.7;0.00
2024-01-03T14:00:00Z;63.1;37.3;0.00
2024-01-03T15:00:00Z;63.1;36.8;0.00
2024-01-03T16:00:00Z;63.1;36.8;0.00
2024-01-03T17:00:00Z;63.1;36.8;0.00
2024-01-03T18:00:00Z;63.1;36.8;0.00
2024-01-03T19:00:00Z;63.1;36.8;0.00
2024-01-03T20:00:00Z;63.1;36.8;0.00
