date,max_temp,min_temp,pcp
validdate;t_max_2m_24h:F;t_min_2m_24h:F;precip_24h:mm
2024-01-01T00:00:00Z;38.0;20.4;0.32
2024-01-01T01:00:00Z;38.0;20.5;0.52
2024-01-01T02:00:00Z;38.0;20.6;0.80
2024-01-01T03:00:00Z;38.0;20.7;1.16
2024-01-01T04:00:00Z;38.0;20.9;1.58
2024-01-01T05:00:00Z;37.9;21.1;2.05
2024-01-01T06:00:00Z;37.9;21.3;2.58
2024-01-01T07:00:00Z;37.9;21.4;3.09
2024-01-01T08:00:00Z;37.9;21.5;3.51
2024-01-01T09:00:00Z;37.9;21.6;3.85
2024-01-01T10:00:00Z;37.9;21.8;4.13
2024-01-01T11:00:00Z;37.8;22.0;4.38
2024-01-01T12:00:00Z;37.8;22.1;4.59
2024-01-01T13:00:00Z;37.6;24.2;4.77
2024-01-01T14:00:00Z;37.4;26.2;4.91
2024-01-01T15:00:00Z;37.2;28.2;5.01
2024-01-01T16:00:00Z;36.9;30.7;5.09
2024-01-01T17:00:00Z;36.6;33.1;5.16
2024-01-01T18:00:00Z;36.7;33.0;5.23
2024-01-01T19:00:00Z;36.8;32.0;5.30
2024-01-01T20:00:00Z;36.9;31.0;5.37
2024-01-01T21:00:00Z;37.0;29.9;5.44
2024-01-01T22:00:00Z;36.3;29.1;5.45
2024-01-01T23:00:00Z;35.7;28.2;5.40
2024-01-02T00:00:00Z;35.0;27.3;5.26
2024-01-02T01:00:00Z;34.7;26.9;5.05
2024-01-02T02:00:00Z;34.8;26.5;4.77
2024-01-02T03:00:00Z;34.8;26.1;4.42
2024-01-02T04:00:00Z;34.9;25.8;3.99
2024-01-02T05:00:00Z;34.9;25.4;3.52
2024-01-02T06:00:00Z;34.9;25.1;3.00
2024-01-02T07:00:00Z;34.9;24.9;2.49
2024-01-02T08:00:00Z;35.0;24.7;2.07
2024-01-02T09:00:00Z;35.0;24.5;1.73
2024-01-02T10:00:00Z;35.0;24.3;1.45
2024-01-02T11:00:00Z;35.0;24.0;1.20
2024-01-02T12:00:00Z;35.1;23.8;0.98
2024-01-02T13:00:00Z;35.0;23.8;0.80
2024-01-02T14:00:00Z;34.9;23.8;0.66
2024-01-02T15:00:00Z;34.8;23.8;0.56
2024-01-02T16:00:00Z;34.7;23.8;0.49
2024-01-02T17:00:00Z;34.5;23.8;0.42
2024-01-02T18:00:00Z;34.3;23.8;0.35
2024-01-02T19:00:00Z;34.3;23.8;0.28
2024-01-02T20:00:00Z;34.6;23.8;0.21
2024-01-02T21:00:00Z;34.8;23.8;0.13
2024-01-02T22:00:00Z;34.8;23.8;0.06
2024-01-02T23:00:00Z;34.8;23.8;0.00
2024-01-03T00:00:00Z;34.8;23.8;0.00
2024-01-03T01:00:00Z;34.8;23.8;0.00
2024-01-03T02:00:00Z;34.8;23.8;0.00
2024-01-03T03:00:00Z;34.8;23.8;0.00
2024-01-03T04:00:00Z;34.8;23.8;0.06
2024-01-03T05:00:00Z;34.8;23.8;0.16
2024-01-03T06:00:00Z;34.8;23.8;0.31
2024-01-03T07:00:00Z;34.8;23.8;0.50
2024-01-03T08:00:00Z;34.8;23.8;0.73
2024-01-03T09:00:00Z;34.8;23.8;1.01
2024-01-03T10:00:00Z;34.8;23.8;1.30
