date,max_temp,min_temp,pcp
validdate;t_max_2m_24h:F;t_min_2m_24h:F;precip_24h:mm
2024-01-01T00:00:00Z;66.2;35.3;0.00
2024-01-01T01:00:00Z;66.2;35.3;0.00
2024-01-01T02:00:00Z;66.2;35.3;0.00
2024-01-01T03:00:00Z;66.2;35.3;0.00
2024-01-01T04:00:00Z;66.2;35.3;0.00
2024-01-01T05:00:00Z;66.2;35.3;0.00
2024-01-01T06:00:00Z;66.2;35.3;0.00
2024-01-01T07:00:00Z;66.2;36.0;0.00
2024-01-01T08:00:00Z;66.1;36.7;0.00
2024-01-01T09:00:00Z;66.0;37.4;0.00
2024-01-01T10:00:00Z;66.0;37.9;0.00
2024-01-01T11:00:00Z;65.9;38.4;0.00
2024-01-01T12:00:00Z;65.9;38.9;0.00
2024-01-01T13:00:00Z;65.7;40.1;0.00
2024-01-01T14:00:00Z;65.6;41.4;0.00
2024-01-01T15:00:00Z;65.4;42.7;0.00
2024-01-01T16:00:00Z;65.2;44.8;0.00
2024-01-01T17:00:00Z;65.2;44.8;0.00
2024-01-01T18:00:00Z;65.2;44.8;0.00
2024-01-01T19:00:00Z;65.2;44.8;0.00
2024-01-01T20:00:00Z;65.2;44.8;0.00
2024-01-01T21:00:00Z;65.2;44.8;0.00
2024-01-01T22:00:00Z;64.8;44.9;0.00
2024-01-01T23:00:00Z;64.8;44.9;0.00
2024-01-02T00:00:00Z;64.8;44.9;0.00
2024-01-02T01:00:00Z;64.8;44.9;0.00
2024-01-02T02:00:00Z;64.8;44.9;0.00
2024-01-02T03:00:00Z;64.8;44.9;0.00
2024-01-02T04:00:00Z;64.8;44.9;0.00
2024-01-02T05:00:00Z;64.8;44.9;0.00
2024-01-02T06:00:00Z;64.8;44.9;0.00
2024-01-02T07:00:00Z;64.8;45.1;0.00
2024-01-02T08:00:00Z;64.8;45.1;0.00
2024-01-02T09:00:00Z;64.8;45.1;0.00
2024-01-02T10:00:00Z;64.8;45.1;0.00
