date,max_temp,min_temp,pcp
validdate;t_max_2m_24h:F;t_min_2m_24h:F;precip_24h:mm
2024-01-01T00:00:00Z;39.0;29.6;0.11
2024-01-01T01:00:00Z;39.0;29.6;0.11
2024-01-01T02:00:00Z;39.0;29.6;0.11
2024-01-01T03:00:00Z;39.0;29.6;0.11
2024-01-01T04:00:00Z;39.0;29.6;0.11
2024-01-01T05:00:00Z;39.0;29.6;0.11
2024-01-01T06:00:00Z;39.0;29.6;0.11
2024-01-01T07:00:00Z;39.0;29.7;0.11
2024-01-01T08:00:00Z;38.9;29.8;0.11
2024-01-01T09:00:00Z;38.9;30.0;0.11
2024-01-01T10:00:00Z;38.9;30.2;0.11
2024-01-01T11:00:00Z;38.9;30.5;0.11
2024-01-01T12:00:00Z;38.8;30.8;0.05
2024-01-01T13:00:00Z;38.8;30.8;0.00
2024-01-01T14:00:00Z;38.9;30.6;0.00
2024-01-01T15:00:00Z;38.9;30.3;0.00
2024-01-01T16:00:00Z;38.9;30.3;0.00
2024-01-01T17:00:00Z;38.9;30.3;0.00
2024-01-01T18:00:00Z;38.9;30.3;0.00
2024-01-01T19:00:00Z;38.9;30.3;0.00
2024-01-01T20:00:00Z;38.9;30.3;0.07
2024-01-01T21:00:00Z;38.9;30.3;0.19
2024-01-01T22:00:00Z;38.5;30.4;0.37
2024-01-01T23:00:00Z;38.5;30.4;0.62
2024-01-02T00:00:00Z;38.5;30.4;0.93
2024-01-02T01:00:00Z;38.5;30.4;1.37
2024-01-02T02:00:00Z;38.5;30.4;1.97
2024-01-02T03:00:00Z;38.5;30.4;2.74
2024-01-02T04:00:00Z;38.5;30.4;3.56
2024-01-02T05:00:00Z;38.5;30.4;4.33
2024-01-02T06:00:00Z;38.5;29.9;5.03
2024-01-02T07:00:00Z;38.6;29.3;5.61
2024-01-02T08:00:00Z;38.6;28.6;6.00
2024-01-02T09:00:00Z;38.7;28.0;6.19
2024-01-02T10:00:00Z;38.8;27.2;6.28
2024-01-02T11:00:00Z;38.9;26.3;6.36
2024-01-02T12:00:00Z;39.0;25.5;6.44
2024-01-02T13:00:00Z;39.0;25.1;6.51
2024-01-02T14:00:00Z;39.1;24.8;6.58
2024-01-02T15:00:00Z;39.1;24.5;6.64
2024-01-02T16:00:00Z;39.1;24.5;6.69
