date,max_temp,min_temp,pcp
validdate;t_max_2m_24h:F;t_min_2m_24h:F;precip_24h:mm
2024-01-01T00:00:00Z;26.1;11.1;1.43
2024-01-01T01:00:00Z;26.3;11.1;1.67
2024-01-01T02:00:00Z;26.6;11.1;1.94
2024-01-01T03:00:00Z;27.0;11.0;2.24
2024-01-01T04:00:00Z;27.3;11.3;2.54
2024-01-01T05:00:00Z;27.6;11.4;2.81
2024-01-01T06:00:00Z;28.0;11.4;3.06
2024-01-01T07:00:00Z;28.3;11.4;3.29
2024-01-01T08:00:00Z;28.6;11.3;3.53
2024-01-01T09:00:00Z;28.9;11.3;3.77
2024-01-01T10:00:00Z;29.1;11.3;4.01
2024-01-01T11:00:00Z;29.4;11.3;4.25
2024-01-01T12:00:00Z;29.6;11.2;4.48
2024-01-01T13:00:00Z;29.8;13.3;4.71
2024-01-01T14:00:00Z;30.1;15.3;4.96
2024-01-01T15:00:00Z;30.3;17.3;5.22
2024-01-01T16:00:00Z;30.3;19.5;5.48
2024-01-01T17:00:00Z;30.4;21.8;5.63
2024-01-01T18:00:00Z;30.5;23.3;5.72
2024-01-01T19:00:00Z;30.5;23.3;5.77
2024-01-01T20:00:00Z;30.5;23.3;5.77
2024-01-01T21:00:00Z;30.5;23.3;5.74
2024-01-01T22:00:00Z;30.4;23.5;5.67
2024-01-01T23:00:00Z;30.4;23.7;5.59
2024-01-02T00:00:00Z;30.4;23.8;5.49
2024-01-02T01:00:00Z;30.5;22.7;5.35
2024-01-02T02:00:00Z;30.7;21.1;5.18
2024-01-02T03:00:00Z;30.9;19.5;4.98
2024-01-02T04:00:00Z;31.1;17.6;4.76
2024-01-02T05:00:00Z;31.3;15.8;4.55
2024-01-02T06:00:00Z;31.4;14.0;4.36
2024-01-02T07:00:00Z;31.6;12.3;4.13
2024-01-02T08:00:00Z;31.8;10.7;3.89
2024-01-02T09:00:00Z;32.0;9.0;3.65
2024-01-02T10:00:00Z;32.1;7.6;3.41
2024-01-02T11:00:00Z;32.3;6.3;3.17
2024-01-02T12:00:00Z;32.4;4.9;2.94
2024-01-02T13:00:00Z;32.5;4.7;2.71
2024-01-02T14:00:00Z;32.5;4.5;2.46
2024-01-02T15:00:00Z;32.5;4.2;2.20
2024-01-02T16:00:00Z;32.5;4.2;1.94
2024-01-02T17:00:00Z;32.5;4.2;1.70
2024-01-02T18:00:00Z;32.5;4.2;1.49
2024-01-02T19:00:00Z;31.9;4.3;1.29
2024-01-02T20:00:00Z;31.2;4.4;1.10
2024-01-02T21:00:00Z;30.6;4.4;0.93
2024-01-02T22:00:00Z;29.4;4.3;0.77
