date,max_temp,min_temp,pcp
validdate;t_max_2m_24h:F;t_min_2m_24h:F;precip_24h:mm
2024-01-01T00:00:00Z;43.0;15.9;0.00
2024-01-01T01:00:00Z;43.0;16.0;0.00
2024-01-01T02:00:00Z;43.0;16.0;0.00
2024-01-01T03:00:00Z;43.0;16.1;0.00
2024-01-01T04:00:00Z;42.9;17.1;0.00
2024-01-01T05:00:00Z;42.8;18.0;0.00
2024-01-01T06:00:00Z;42.7;19.0;0.00
2024-01-01T07:00:00Z;42.7;19.4;0.00
2024-01-01T08:00:00Z;42.6;19.8;0.00
2024-01-01T09:00:00Z;42.6;20.2;0.00
2024-01-01T10:00:00Z;42.6;20.4;0.00
2024-01-01T11:00:00Z;42.5;20.6;0.00
2024-01-01T12:00:00Z;42.5;20.8;0.00
2024-01-01T13:00:00Z;42.2;24.1;0.00
2024-01-01T14:00:00Z;41.8;27.4;0.00
2024-01-01T15:00:00Z;42.1;30.6;0.00
2024-01-01T16:00:00Z;42.8;33.5;0.00
2024-01-01T17:00:00Z;43.9;33.4;0.00
2024-01-01T18:00:00Z;44.9;33.3;0.00
2024-01-01T19:00:00Z;44.9;33.3;0.00
2024-01-01T20:00:00Z;44.9;33.3;0.00
2024-01-01T21:00:00Z;44.9;33.3;0.00
2024-01-01T22:00:00Z;44.9;33.3;0.00
2024-01-01T23:00:00Z;44.9;33.3;0.00
2024-01-02T00:00:00Z;44.9;33.3;0.00
2024-01-02T01:00:00Z;44.9;33.3;0.00
2024-01-02T02:00:00Z;44.9;33.3;0.00
2024-01-02T03:00:00Z;44.9;33.3;0.00
2024-01-02T04:00:00Z;44.9;33.0;0.00
2024-01-02T05:00:00Z;45.0;32.6;0.00
2024-01-02T06:00:00Z;45.0;32.1;0.00
2024-01-02T07:00:00Z;45.0;32.0;0.00
2024-01-02T08:00:00Z;45.0;31.9;0.00
2024-01-02T09:00:00Z;45.0;31.8;0.00
2024-01-02T10:00:00Z;45.1;31.7;0.00
2024-01-02T11:00:00Z;45.1;31.5;0.00
2024-01-02T12:00:00Z;45.1;31.4;0.00
2024-01-02T13:00:00Z;45.1;31.4;0.00
2024-01-02T14:00:00Z;45.1;31.4;0.00
2024-01-02T15:00:00Z;45.1;31.4;0.00
2024-01-02T16:00:00Z;45.1;31.4;0.00
2024-01-02T17:00:00Z;45.1;31.4;0.00
2024-01-02T18:00:00Z;45.1;31.4;0.00
2024-01-02T19:00:00Z;43.9;31.5;0.00
2024-01-02T20:00:00Z;42.7;31.6;0.00
2024-01-02T21:00:00Z;41.9;31.7;0.00
2024-01-02T22:00:00Z;41.9;31.7;0.00
2024-01-02T23:00:00Z;41.9;31.7;0.00
2024-01-03T00:00:00Z;42.0;31.5;0.00
2024-01-03T01:00:00Z;42.0;31.2;0.00
2024-01-03T02:00:00Z;42.0;30.9;0.00
