date,max_temp,min_temp,pcp
validdate;t_max_2m_24h:F;t_min_2m_24h:F;precip_24h:mm
2024-01-01T00:00:00Z;40.8;26.8;0.00
2024-01-01T01:00:00Z;40.8;26.8;0.00
2024-01-01T02:00:00Z;40.8;26.8;0.06
2024-01-01T03:00:00Z;40.8;26.8;0.16
2024-01-01T04:00:00Z;40.8;26.8;0.33
2024-01-01T05:00:00Z;40.8;26.8;0.58
2024-01-01T06:00:00Z;40.8;26.8;0.93
2024-01-01T07:00:00Z;40.8;26.8;1.31
2024-01-01T08:00:00Z;40.8;26.8;1.68
2024-01-01T09:00:00Z;40.8;26.8;2.02
2024-01-01T10:00:00Z;40.8;26.8;2.33
2024-01-01T11:00:00Z;40.8;26.8;2.60
2024-01-01T12:00:00Z;40.8;26.9;2.82
2024-01-01T13:00:00Z;40.6;28.6;3.00
2024-01-01T14:00:00Z;40.4;30.3;3.15
2024-01-01T15:00:00Z;40.3;32.0;3.26
2024-01-01T16:00:00Z;40.2;32.3;3.35
2024-01-01T17:00:00Z;40.2;32.3;3.46
2024-01-01T18:00:00Z;40.2;32.3;3.56
2024-01-01T19:00:00Z;40.2;32.0;3.68
2024-01-01T20:00:00Z;40.3;31.5;3.81
2024-01-01T21:00:00Z;40.4;31.0;3.95
2024-01-01T22:00:00Z;38.8;31.1;4.09
2024-01-01T23:00:00Z;37.3;31.1;4.22
2024-01-02T00:00:00Z;35.8;31.2;4.35
2024-01-02T01:00:00Z;35.6;31.2;4.48
2024-01-02T02:00:00Z;35.5;31.2;4.54
2024-01-02T03:00:00Z;35.3;31.2;4.55
2024-01-02T04:00:00Z;35.2;31.1;4.50
2024-01-02T05:00:00Z;35.1;31.0;4.34
2024-01-02T06:00:00Z;35.0;30.9;4.08
2024-01-02T07:00:00Z;34.9;30.9;3.77
2024-01-02T08:00:00Z;34.9;30.9;3.47
2024-01-02T09:00:00Z;34.8;30.9;3.12
2024-01-02T10:00:00Z;34.6;30.7;2.81
2024-01-02T11:00:00Z;34.4;30.5;2.54
2024-01-02T12:00:00Z;34.1;30.3;2.32
2024-01-02T13:00:00Z;33.9;30.3;2.14
2024-01-02T14:00:00Z;33.6;30.3;2.00
2024-01-02T15:00:00Z;33.6;30.3;1.89
2024-01-02T16:00:00Z;33.6;30.3;1.79
2024-01-02T17:00:00Z;33.6;30.3;1.69
2024-01-02T18:00:00Z;34.0;30.3;1.58
2024-01-02T19:00:00Z;34.8;30.2;1.46
2024-01-02T20:00:00Z;35.5;30.1;1.34
2024-01-02T21:00:00Z;36.2;30.1;1.20
2024-01-02T22:00:00Z;36.2;30.1;1.06
2024-01-02T23:00:00Z;36.2;30.1;0.92
2024-01-03T00:00:00Z;36.2;30.1;0.79
2024-01-03T01:00:00Z;36.2;30.1;0.67
2024-01-03T02:00:00Z;36.2;30.1;0.55
2024-01-03T03:00:00Z;36.2;30.1;0.43
2024-01-03T04:00:00Z;36.2;30.1;0.31
2024-01-03T05:00:00Z;36.2;30.1;0.22
2024-01-03T06:00:00Z;36.2;30.1;0.13
2024-01-03T07:00:00Z;36.2;30.1;0.06
2024-01-03T08:00:00Z;36.2;30.1;0.00
2024-01-03T09:00:00Z;36.2;30.1;0.00
2024-01-03T10:00:00Z;36.2;30.1;0.07
2024-01-03T11:00:00Z;36.2;30.1;0.20
2024-01-03T12:00:00Z;36.2;30.1;0.39
2024-01-03T13:00:00Z;36.2;30.3;0.61
2024-01-03T14:00:00Z;36.2;30.5;0.84
2024-01-03T15:00:00Z;36.2;30.7;1.06
2024-01-03T16:00:00Z;36.1;31.6;1.29
2024-01-03T17:00:00Z;36.5;32.5;1.53
2024-01-03T18:00:00Z;37.3;32.5;1.79
2024-01-03T19:00:00Z;38.0;32.4;2.07
2024-01-03T20:00:00Z;38.7;32.4;2.37
2024-01-03T21:00:00Z;39.4;32.3;2.68
2024-01-03T22:00:00Z;40.0;32.2;3.02
2024-01-03T23:00:00Z;40.6;32.2;3.40
2024-01-04T00:00:00Z;41.2;32.1;3.80
2024-01-04T01:00:00Z;41.2;32.5;4.19
2024-01-04T02:00:00Z;41.1;32.9;4.50
2024-01-04T03:00:00Z;41.1;32.9;4.75
2024-01-04T04:00:00Z;41.1;32.9;4.95
2024-01-04T05:00:00Z;41.1;32.9;5.11
2024-01-04T06:00:00Z;41.1;32.9;5.23
2024-01-04T07:00:00Z;41.1;32.9;5.33
2024-01-04T08:00:00Z;41.3;31.5;5.42
2024-01-04T09:00:00Z;41.4;30.2;5.48
2024-01-04T10:00:00Z;41.4;29.9;5.47
2024-01-04T11:00:00Z;41.5;29.6;5.34
2024-01-04T12:00:00Z;41.5;29.3;5.15
2024-01-04T13:00:00Z;41.5;29.1;4.93
2024-01-04T14:00:00Z;41.5;28.9;4.70
2024-01-04T15:00:00Z;41.6;28.7;4.48
2024-01-04T16:00:00Z;41.6;28.7;4.25
2024-01-04T17:00:00Z;41.6;28.7;4.01
2024-01-04T18:00:00Z;41.6;28.7;3.75
2024-01-04T19:00:00Z;41.6;28.7;3.47
2024-01-04T20:00:00Z;41.6;28.7;3.17
2024-01-04T21:00:00Z;41.6;28.7;2.85
2024-01-04T22:00:00Z;41.6;28.7;2.51
2024-01-04T23:00:00Z;41.6;28.7;2.14
2024-01-05T00:00:00Z;41.6;28.7;1.74
2024-01-05T01:00:00Z;41.5;28.7;1.35
2024-01-05T02:00:00Z;41.5;28.7;1.04
2024-01-05T03:00:00Z;41.4;28.7;0.79
2024-01-05T04:00:00Z;39.5;28.9;0.59
2024-01-05T05:00:00Z;37.5;29.2;0.43
2024-01-05T06:00:00Z;35.5;29.4;0.30
2024-01-05T07:00:00Z;34.2;29.5;0.20
2024-01-05T08:00:00Z;34.1;29.5;0.12
2024-01-05T09:00:00Z;34.1;29.5;0.05
2024-01-05T10:00:00Z;34.1;29.5;0.00
2024-01-05T11:00:00Z;34.1;29.5;0.00
2024-01-05T12:00:00Z;34.1;29.5;0.00
2024-01-05T13:00:00Z;34.1;29.5;0.00
2024-01-05T14:00:00Z;34.1;29.5;0.00
2024-01-05T15:00:00Z;34.8;29.4;0.00
2024-01-05T16:00:00Z;36.3;30.2;0.00
2024-01-05T17:00:00Z;37.7;30.8;0.00
2024-01-05T18:00:00Z;39.3;30.6;0.00
2024-01-05T19:00:00Z;39.4;30.6;0.00
2024-01-05T20:00:00Z;39.5;30.6;0.00
2024-01-05T21:00:00Z;39.6;30.6;0.00
2024-01-05T22:00:00Z;39.6;30.6;0.00
2024-01-05T23:00:00Z;39.6;30.6;0.00
2024-01-06T00:00:00Z;39.6;30.6;0.00
2024-01-06T01:00:00Z;39.6;30.6;0.00
2024-01-06T02:00:00Z;39.6;30.6;0.00
2024-01-06T03:00:00Z;39.6;30.6;0.00
2024-01-06T04:00:00Z;39.6;30.8;0.00
2024-01-06T05:00:00Z;39.5;30.9;0.00
2024-01-06T06:00:00Z;39.5;31.1;0.00
2024-01-06T07:00:00Z;39.5;31.2;0.00
2024-01-06T08:00:00Z;39.5;31.4;0.00
2024-01-06T09:00:00Z;39.5;31.5;0.00
2024-01-06T10:00:00Z;39.5;31.5;0.00
2024-01-06T11:00:00Z;39.5;31.5;0.08
2024-01-06T12:00:00Z;39.5;31.5;0.19
2024-01-06T13:00:00Z;39.4;32.2;0.30
2024-01-06T14:00:00Z;39.3;33.0;0.39
2024-01-06T15:00:00Z;39.2;33.8;0.45
2024-01-06T16:00:00Z;40.3;34.9;0.45
2024-01-06T17:00:00Z;42.8;34.7;0.45
2024-01-06T18:00:00Z;45.4;34.4;0.45
2024-01-06T19:00:00Z;46.1;34.3;0.45
2024-01-06T20:00:00Z;46.8;34.2;0.45
2024-01-06T21:00:00Z;47.5;34.2;0.45
2024-01-06T22:00:00Z;47.5;34.2;0.45
2024-01-06T23:00:00Z;47.5;34.2;0.45
2024-01-07T00:00:00Z;47.5;34.2;0.45
2024-01-07T01:00:00Z;47.5;34.2;0.50
2024-01-07T02:00:00Z;47.5;34.2;0.57
2024-01-07T03:00:00Z;47.5;34.2;0.64
2024-01-07T04:00:00Z;47.5;34.2;0.72
2024-01-07T05:00:00Z;47.5;34.2;0.80
2024-01-07T06:00:00Z;47.5;34.2;0.88
2024-01-07T07:00:00Z;47.5;34.2;0.95
2024-01-07T08:00:00Z;47.5;34.2;1.03
2024-01-07T09:00:00Z;47.5;34.2;1.09
2024-01-07T10:00:00Z;47.5;34.2;1.16
2024-01-07T11:00:00Z;47.5;34.2;1.14
2024-01-07T12:00:00Z;47.5;34.2;1.09
2024-01-07T13:00:00Z;47.6;34.9;1.04
2024-01-07T14:00:00Z;48.2;35.6;1.01
2024-01-07T15:00:00Z;48.7;36.3;1.00
2024-01-07T16:00:00Z;49.0;38.8;1.00
2024-01-07T17:00:00Z;49.3;41.2;1.05
2024-01-07T18:00:00Z;49.9;41.4;1.10
2024-01-07T19:00:00Z;49.9;41.4;1.15
2024-01-07T20:00:00Z;49.9;41.4;1.20
2024-01-07T21:00:00Z;49.9;41.4;1.20
2024-01-07T22:00:00Z;49.9;41.4;1.20
2024-01-07T23:00:00Z;49.9;41.4;1.20
2024-01-08T00:00:00Z;49.9;41.4;1.20
2024-01-08T01:00:00Z;49.9;41.9;1.15
2024-01-08T02:00:00Z;49.8;42.3;1.08
2024-01-08T03:00:00Z;49.8;42.4;1.00
2024-01-08T04:00:00Z;49.9;41.6;0.93
