date,max_temp,min_temp,pcp
validdate;t_max_2m_24h:F;t_min_2m_24h:F;precip_24h:mm
2024-01-01T00:00:00Z;34.4;30.8;0.00
2024-01-01T01:00:00Z;34.4;30.7;0.00
2024-01-01T02:00:00Z;34.4;30.5;0.00
2024-01-01T03:00:00Z;34.5;30.4;0.00
2024-01-01T04:00:00Z;34.5;30.4;0.00
2024-01-01T05:00:00Z;34.5;30.4;0.00
2024-01-01T06:00:00Z;34.5;30.4;0.00
2024-01-01T07:00:00Z;34.5;30.4;0.00
2024-01-01T08:00:00Z;34.5;30.4;0.00
2024-01-01T09:00:00Z;34.5;30.4;0.00
2024-01-01T10:00:00Z;34.5;30.4;0.00
2024-01-01T11:00:00Z;34.5;30.4;0.00
2024-01-01T12:00:00Z;34.5;30.4;0.00
2024-01-01T13:00:00Z;34.5;30.4;0.00
2024-01-01T14:00:00Z;34.6;30.4;0.00
2024-01-01T15:00:00Z;34.8;30.3;0.00
2024-01-01T16:00:00Z;35.7;30.2;0.00
2024-01-01T17:00:00Z;36.5;30.1;0.00
2024-01-01T18:00:00Z;37.4;30.1;0.00
2024-01-01T19:00:00Z;37.7;30.0;0.00
2024-01-01T20:00:00Z;38.0;30.0;0.00
2024-01-01T21:00:00Z;38.3;30.0;0.00
2024-01-01T22:00:00Z;38.3;30.0;0.00
2024-01-01T23:00:00Z;38.3;30.0;0.00
2024-01-02T00:00:00Z;38.3;30.0;0.00
2024-01-02T01:00:00Z;38.3;30.0;0.00
2024-01-02T02:00:00Z;38.3;30.0;0.07
2024-01-02T03:00:00Z;38.3;30.0;0.16
2024-01-02T04:00:00Z;38.3;30.2;0.29
2024-01-02T05:00:00Z;38.3;30.5;0.46
2024-01-02T06:00:00Z;38.2;30.8;0.67
2024-01-02T07:00:00Z;38.2;31.0;0.88
2024-01-02T08:00:00Z;38.2;31.3;1.04
2024-01-02T09:00:00Z;38.1;31.5;1.16
2024-01-02T10:00:00Z;38.1;32.1;1.26
2024-01-02T11:00:00Z;38.0;32.7;1.37
2024-01-02T12:00:00Z;38.1;32.3;1.47
2024-01-02T13:00:00Z;38.2;31.4;1.59
2024-01-02T14:00:00Z;38.3;30.5;1.72
2024-01-02T15:00:00Z;38.4;29.6;1.88
2024-01-02T16:00:00Z;38.4;29.6;2.02
2024-01-02T17:00:00Z;38.4;29.6;2.13
2024-01-02T18:00:00Z;38.4;29.6;2.19
2024-01-02T19:00:00Z;38.4;29.6;2.19
2024-01-02T20:00:00Z;38.4;29.6;2.19
2024-01-02T21:00:00Z;38.4;29.6;2.19
2024-01-02T22:00:00Z;37.8;29.6;2.19
2024-01-02T23:00:00Z;37.3;29.7;2.19
2024-01-03T00:00:00Z;36.8;29.7;2.19
2024-01-03T01:00:00Z;36.3;29.8;2.19
2024-01-03T02:00:00Z;35.9;29.8;2.12
2024-01-03T03:00:00Z;35.9;29.0;2.03
2024-01-03T04:00:00Z;35.9;28.5;1.90
2024-01-03T05:00:00Z;36.0;27.9;1.73
2024-01-03T06:00:00Z;36.0;27.4;1.52
2024-01-03T07:00:00Z;36.0;27.0;1.31
2024-01-03T08:00:00Z;36.0;26.6;1.15
2024-01-03T09:00:00Z;35.9;26.3;1.03
2024-01-03T10:00:00Z;35.1;26.3;0.93
2024-01-03T11:00:00Z;34.4;26.2;0.82
2024-01-03T12:00:00Z;34.3;26.1;0.72
2024-01-03T13:00:00Z;34.3;26.1;0.61
2024-01-03T14:00:00Z;34.3;26.1;0.47
2024-01-03T15:00:00Z;34.3;26.1;0.31
2024-01-03T16:00:00Z;34.3;26.1;0.17
2024-01-03T17:00:00Z;34.3;26.1;0.06
2024-01-03T18:00:00Z;34.3;26.1;0.00
2024-01-03T19:00:00Z;34.3;26.1;0.00
2024-01-03T20:00:00Z;34.3;26.1;0.00
2024-01-03T21:00:00Z;34.3;26.1;0.00
2024-01-03T22:00:00Z;33.8;26.2;0.00
2024-01-03T23:00:00Z;33.8;26.2;0.00
2024-01-04T00:00:00Z;33.8;26.2;0.00
2024-01-04T01:00:00Z;33.8;26.2;0.00
2024-01-04T02:00:00Z;33.8;26.2;0.00
2024-01-04T03:00:00Z;33.8;26.2;0.00
2024-01-04T04:00:00Z;33.8;26.2;0.00
2024-01-04T05:00:00Z;33.8;26.2;0.00
2024-01-04T06:00:00Z;33.8;26.2;0.00
2024-01-04T07:00:00Z;33.8;26.2;0.00
2024-01-04T08:00:00Z;33.8;26.2;0.00
2024-01-04T09:00:00Z;33.8;26.2;0.00
2024-01-04T10:00:00Z;33.8;26.2;0.00
2024-01-04T11:00:00Z;33.8;26.2;0.00
2024-01-04T12:00:00Z;33.8;26.2;0.00
2024-01-04T13:00:00Z;33.8;26.3;0.00
2024-01-04T14:00:00Z;33.8;26.3;0.00
2024-01-04T15:00:00Z;33.8;26.4;0.00
2024-01-04T16:00:00Z;33.7;26.9;0.00
2024-01-04T17:00:00Z;33.7;26.9;0.00
2024-01-04T18:00:00Z;33.7;26.9;0.00
2024-01-04T19:00:00Z;33.9;26.9;0.00
2024-01-04T20:00:00Z;35.0;26.8;0.00
2024-01-04T21:00:00Z;36.1;26.6;0.00
2024-01-04T22:00:00Z;36.1;26.6;0.00
2024-01-04T23:00:00Z;36.1;26.6;0.00
2024-01-05T00:00:00Z;36.1;26.6;0.00
2024-01-05T01:00:00Z;36.1;26.6;0.00
2024-01-05T02:00:00Z;36.1;26.6;0.06
2024-01-05T03:00:00Z;36.1;26.6;0.14
2024-01-05T04:00:00Z;36.1;26.6;0.25
2024-01-05T05:00:00Z;36.1;26.6;0.37
2024-01-05T06:00:00Z;36.1;26.6;0.52
2024-01-05T07:00:00Z;36.1;26.6;0.70
2024-01-05T08:00:00Z;36.1;26.6;0.91
2024-01-05T09:00:00Z;36.1;26.6;1.15
2024-01-05T10:00:00Z;36.1;26.8;1.41
2024-01-05T11:00:00Z;36.0;26.9;1.69
2024-01-05T12:00:00Z;36.0;27.0;1.98
2024-01-05T13:00:00Z;36.0;27.2;2.30
2024-01-05T14:00:00Z;36.0;27.4;2.63
2024-01-05T15:00:00Z;36.0;27.7;2.98
2024-01-05T16:00:00Z;35.8;29.1;3.36
2024-01-05T17:00:00Z;35.7;29.8;3.74
2024-01-05T18:00:00Z;35.7;29.8;4.13
2024-01-05T19:00:00Z;35.7;29.8;4.54
2024-01-05T20:00:00Z;35.7;29.8;4.98
2024-01-05T21:00:00Z;35.7;29.8;5.45
2024-01-05T22:00:00Z;35.0;29.9;5.95
2024-01-05T23:00:00Z;34.2;30.0;6.48
2024-01-06T00:00:00Z;33.5;29.7;7.04
2024-01-06T01:00:00Z;33.1;28.8;7.60
2024-01-06T02:00:00Z;32.7;28.0;8.06
2024-01-06T03:00:00Z;32.2;27.1;8.48
2024-01-06T04:00:00Z;32.3;25.8;8.82
2024-01-06T05:00:00Z;32.3;24.4;9.04
2024-01-06T06:00:00Z;32.3;23.0;9.16
2024-01-06T07:00:00Z;32.4;21.7;9.18
2024-01-06T08:00:00Z;32.6;20.3;9.13
2024-01-06T09:00:00Z;32.7;18.9;9.00
2024-01-06T10:00:00Z;32.8;17.6;8.82
2024-01-06T11:00:00Z;33.0;16.3;8.59
2024-01-06T12:00:00Z;33.1;15.0;8.30
2024-01-06T13:00:00Z;33.3;13.2;7.99
2024-01-06T14:00:00Z;33.5;11.4;7.65
2024-01-06T15:00:00Z;33.7;9.6;7.30
2024-01-06T16:00:00Z;33.7;9.6;6.93
2024-01-06T17:00:00Z;33.7;9.6;6.55
2024-01-06T18:00:00Z;33.7;9.6;6.15
2024-01-06T19:00:00Z;33.7;9.6;5.74
2024-01-06T20:00:00Z;33.7;9.6;5.30
