state,year,month,price_received
CALIFORNIA,2021,10,5.12
CALIFORNIA,2017,2,4.67
CALIFORNIA,2017,6,4.39
CALIFORNIA,2017,8,4.23
CALIFORNIA,2016,5,4.89
CALIFORNIA,2016,6,4.17
CALIFORNIA,2016,7,4.11
CALIFORNIA,2014,6,5.52
CALIFORNIA,2014,8,6.86
CALIFORNIA,2012,6,5.73
CALIFORNIA,2011,5,5.98
CALIFORNIA,2011,6,5.56
CALIFORNIA,2011,7,5.88
CALIFORNIA,2010,7,3.32
CALIFORNIA,2007,6,3.73
CALIFORNIA,2006,1,2.82
CALIFORNIA,2006,5,2.88
CALIFORNIA,2006,6,2.39
CALIFORNIA,2006,7,2.84
CALIFORNIA,2006,8,2.64
CALIFORNIA,2005,8,2.28
CALIFORNIA,2004,6,2.75
CALIFORNIA,2004,7,2.84
CALIFORNIA,2003,6,2.8
CALIFORNIA,2003,7,2.7
CALIFORNIA,2003,8,2.65
CALIFORNIA,2003,10,3.03
CALIFORNIA,2001,1,2.45
CALIFORNIA,2001,2,2.28
CALIFORNIA,2001,3,2.4
CALIFORNIA,2001,6,2.39
CALIFORNIA,2001,7,2.25
CALIFORNIA,2001,8,2.18
CALIFORNIA,2001,9,2.19
CALIFORNIA,2001,10,2.42
CALIFORNIA,2001,12,2.28
CALIFORNIA,2000,1,2.25
CALIFORNIA,2000,2,2.45
CALIFORNIA,2000,3,2.48
CALIFORNIA,2000,4,2.38
CALIFORNIA,2000,5,2.42
CALIFORNIA,2000,6,2.46
CALIFORNIA,2000,7,2.43
CALIFORNIA,2000,8,2.31
CALIFORNIA,2000,10,1.35
CALIFORNIA,2000,11,2.46
CALIFORNIA,2000,12,2.34
COLORADO,2022,1,5.15
COLORADO,2022,2,4.95
COLORADO,2022,3,4.96
COLORADO,2022,4,4.94
COLORADO,2022,5,5.38
COLORADO,2022,6,5.1
COLORADO,2022,7,5.3
COLORADO,2022,8,6.46
COLORADO,2022,9,6.9
COLORADO,2022,10,6.29
COLORADO,2022,11,7.16
COLORADO,2022,12,6.63
COLORADO,2021,1,4.89
COLORADO,2021,2,4.95
COLORADO,2021,3,4.92
COLORADO,2021,4,5.07
COLORADO,2021,5,4.91
COLORADO,2021,6,5.05
COLORADO,2021,7,4.86
COLORADO,2021,8,4.92
COLORADO,2021,9,4.72
COLORADO,2021,10,4.92
COLORADO,2021,11,4.91
COLORADO,2021,12,5.02
COLORADO,2020,2,5.06
COLORADO,2020,3,4.94
COLORADO,2020,4,5.28
COLORADO,2020,6,5.21
COLORADO,2020,7,5.29
COLORADO,2020,8,4.81
COLORADO,2020,9,4.85
COLORADO,2020,10,5.03
COLORADO,2020,11,5.11
COLORADO,2020,12,4.75
COLORADO,2019,1,4.66
COLORADO,2019,2,4.6
COLORADO,2019,3,4.68
COLORADO,2019,4,4.66
COLORADO,2019,6,4.68
COLORADO,2019,8,4.65
COLORADO,2019,9,4.65
COLORADO,2019,10,4.65
COLORADO,2018,2,4.8
COLORADO,2018,4,4.49
COLORADO,2018,5,4.45
COLORADO,2018,7,4.08
COLORADO,2018,8,4.25
COLORADO,2018,11,4.65
COLORADO,2018,12,4.67
COLORADO,2017,2,5.29
COLORADO,2017,3,5.45
COLORADO,2017,4,5.38
COLORADO,2017,6,5.38
COLORADO,2017,7,4.28
COLORADO,2017,8,4.46
COLORADO,2017,9,4.53
COLORADO,2017,10,4.81
COLORADO,2017,11,4.69
COLORADO,2016,1,6.24
COLORADO,2016,2,6.24
COLORADO,2016,3,6.24
COLORADO,2016,5,6.24
COLORADO,2016,7,5.45
COLORADO,2016,8,4.67
COLORADO,2016,9,5.26
COLORADO,2016,10,5.56
COLORADO,2016,12,5.63
COLORADO,2015,4,7.89
COLORADO,2015,6,6.3
COLORADO,2015,8,5.98
COLORADO,2015,9,6.13
COLORADO,2015,11,6.23
COLORADO,2014,2,4.02
COLORADO,2014,8,4.73
COLORADO,2014,9,6.28
COLORADO,2013,7,6.52
COLORADO,2013,9,6.26
COLORADO,2012,1,5.22
COLORADO,2012,2,5.27
COLORADO,2012,3,5.28
COLORADO,2012,6,6.48
COLORADO,2012,7,6.53
COLORADO,2012,8,6.71
COLORADO,2012,9,6.65
COLORADO,2012,10,6.74
COLORADO,2012,11,6.61
COLORADO,2012,12,6.83
COLORADO,2011,2,4.08
COLORADO,2011,3,2.93
COLORADO,2011,8,5.25
COLORADO,2011,11,5.3
COLORADO,2011,12,4.78
COLORADO,2010,7,4.22
COLORADO,2010,8,2.78
COLORADO,2010,9,3.86
COLORADO,2010,10,4.12
COLORADO,2010,11,4.13
COLORADO,2009,8,5.32
COLORADO,2009,9,4.51
COLORADO,2009,10,5.38
COLORADO,2009,11,5.22
COLORADO,2009,12,5.15
COLORADO,2008,7,5.49
COLORADO,2008,9,5.43
COLORADO,2008,10,5.0
COLORADO,2008,11,5.21
COLORADO,2007,7,3.75
COLORADO,2007,8,3.39
COLORADO,2007,9,3.37
COLORADO,2007,10,3.44
COLORADO,2007,11,3.45
COLORADO,2007,12,3.43
COLORADO,2006,10,2.47
COLORADO,2006,11,3.35
COLORADO,2005,1,2.81
COLORADO,2005,2,2.34
COLORADO,2005,3,2.51
COLORADO,2005,8,2.74
COLORADO,2005,9,3.12
COLORADO,2005,10,3.13
COLORADO,2005,11,2.15
COLORADO,2004,1,3.03
COLORADO,2004,2,2.96
COLORADO,2004,7,2.19
COLORADO,2004,8,2.56
COLORADO,2004,9,3.11
COLORADO,2004,10,2.69
COLORADO,2004,11,2.99
COLORADO,2004,12,2.84
COLORADO,2003,1,2.99
COLORADO,2003,2,2.81
COLORADO,2003,3,2.16
COLORADO,2003,4,2.73
COLORADO,2003,5,2.62
COLORADO,2003,6,2.21
COLORADO,2003,7,2.22
COLORADO,2003,8,3.08
COLORADO,2003,9,3.09
COLORADO,2003,10,2.98
COLORADO,2003,11,3.07
COLORADO,2003,12,2.87
COLORADO,2002,1,2.12
COLORADO,2002,2,2.16
COLORADO,2002,3,1.97
COLORADO,2002,5,1.96
COLORADO,2002,7,2.67
COLORADO,2002,8,3.0
COLORADO,2002,9,3.0
COLORADO,2002,10,3.2
COLORADO,2002,11,3.14
COLORADO,2002,12,3.06
COLORADO,2001,1,1.58
COLORADO,2001,2,1.84
COLORADO,2001,3,1.97
COLORADO,2001,4,2.07
COLORADO,2001,5,1.8
COLORADO,2001,6,1.92
COLORADO,2001,7,1.78
COLORADO,2001,8,2.99
COLORADO,2001,9,2.69
COLORADO,2001,10,2.47
COLORADO,2001,11,2.39
COLORADO,2001,12,2.05
COLORADO,2000,1,1.98
COLORADO,2000,2,1.79
COLORADO,2000,3,1.58
COLORADO,2000,4,1.88
COLORADO,2000,5,1.85
COLORADO,2000,6,1.84
COLORADO,2000,7,3.31
COLORADO,2000,8,3.17
COLORADO,2000,9,2.54
COLORADO,2000,10,3.05
COLORADO,2000,11,2.02
COLORADO,2000,12,1.84
IDAHO,2022,1,5.48
IDAHO,2022,2,5.38
IDAHO,2022,3,5.62
IDAHO,2022,4,5.67
IDAHO,2022,5,5.71
IDAHO,2022,6,5.8
IDAHO,2022,7,6.88
IDAHO,2022,8,7.59
IDAHO,2022,9,7.54
IDAHO,2022,10,7.72
IDAHO,2022,11,7.26
IDAHO,2022,12,8.04
IDAHO,2021,1,4.71
IDAHO,2021,2,5.12
IDAHO,2021,3,4.99
IDAHO,2021,4,5.02
IDAHO,2021,5,5.05
IDAHO,2021,6,4.88
IDAHO,2021,7,5.19
IDAHO,2021,8,5.08
IDAHO,2021,9,5.24
IDAHO,2021,10,5.33
IDAHO,2021,11,5.38
IDAHO,2021,12,5.33
IDAHO,2020,1,5.09
IDAHO,2020,2,4.83
IDAHO,2020,3,5.15
IDAHO,2020,4,4.95
IDAHO,2020,5,5.14
IDAHO,2020,6,5.21
IDAHO,2020,7,5.2
IDAHO,2020,8,4.84
IDAHO,2020,9,4.87
IDAHO,2020,10,4.9
IDAHO,2020,11,4.94
IDAHO,2020,12,4.85
IDAHO,2019,1,5.0
IDAHO,2019,2,5.08
IDAHO,2019,3,5.3
IDAHO,2019,4,5.49
IDAHO,2019,5,5.34
IDAHO,2019,6,5.29
IDAHO,2019,7,5.15
IDAHO,2019,8,5.02
IDAHO,2019,9,4.89
IDAHO,2019,10,5.02
IDAHO,2019,11,4.96
IDAHO,2019,12,5.05
IDAHO,2018,1,4.44
IDAHO,2018,2,4.94
IDAHO,2018,3,4.52
IDAHO,2018,6,5.0
IDAHO,2018,7,5.07
IDAHO,2018,8,4.87
