state,year,month,price_received
ALABAMA,2019,1,3.99
ALABAMA,2019,2,4.42
ALABAMA,2019,3,4.11
ALABAMA,2019,4,4.28
ALABAMA,2019,5,4.23
ALABAMA,2019,6,3.69
ALABAMA,2019,7,4.7
ALABAMA,2019,8,3.96
ALABAMA,2018,1,3.99
ALABAMA,2018,2,4.0
ALABAMA,2018,3,4.16
ALABAMA,2018,4,4.1
ALABAMA,2018,5,4.17
ALABAMA,2018,6,4.19
ALABAMA,2018,7,4.16
ALABAMA,2018,8,4.0
ALABAMA,2018,9,4.21
ALABAMA,2018,10,4.02
ALABAMA,2018,11,3.96
ALABAMA,2018,12,4.19
ALABAMA,2017,9,3.88
ALABAMA,2017,10,3.96
ALABAMA,2017,11,4.06
ALABAMA,2017,12,3.97
ARIZONA,2018,8,4.72
ARKANSAS,2019,1,3.83
ARKANSAS,2019,2,3.81
ARKANSAS,2019,3,3.61
ARKANSAS,2019,4,3.59
ARKANSAS,2019,5,4.03
ARKANSAS,2019,6,4.22
ARKANSAS,2019,7,4.05
ARKANSAS,2019,8,3.98
ARKANSAS,2018,1,3.81
ARKANSAS,2018,2,3.73
ARKANSAS,2018,3,3.75
ARKANSAS,2018,4,3.82
ARKANSAS,2018,5,4.02
ARKANSAS,2018,6,3.6
ARKANSAS,2018,7,3.87
ARKANSAS,2018,8,3.92
ARKANSAS,2018,9,3.65
ARKANSAS,2018,10,3.58
ARKANSAS,2018,11,3.68
ARKANSAS,2018,12,3.78
ARKANSAS,2017,9,3.58
ARKANSAS,2017,10,3.46
ARKANSAS,2017,11,3.27
ARKANSAS,2017,12,3.36
COLORADO,2022,1,5.9
COLORADO,2022,2,6.3
COLORADO,2022,3,6.79
COLORADO,2022,4,7.12
COLORADO,2022,5,7.46
COLORADO,2022,6,7.96
COLORADO,2022,7,8.11
COLORADO,2022,8,8.14
COLORADO,2022,9,8.12
COLORADO,2022,10,8.07
COLORADO,2022,11,7.32
COLORADO,2022,12,7.36
COLORADO,2021,1,4.54
COLORADO,2021,2,4.9
COLORADO,2021,3,4.95
COLORADO,2021,4,5.4
COLORADO,2021,5,6.0
COLORADO,2021,6,6.43
COLORADO,2021,7,6.55
COLORADO,2021,8,6.66
COLORADO,2021,9,5.8
COLORADO,2021,10,5.28
COLORADO,2021,11,5.65
COLORADO,2021,12,5.55
COLORADO,2020,1,3.89
COLORADO,2020,2,3.78
COLORADO,2020,3,3.74
COLORADO,2020,4,3.34
COLORADO,2020,5,3.36
COLORADO,2020,6,3.08
COLORADO,2020,7,3.46
COLORADO,2020,8,3.45
COLORADO,2020,9,3.55
COLORADO,2020,10,4.18
COLORADO,2020,11,4.04
COLORADO,2020,12,4.16
COLORADO,2019,1,3.59
COLORADO,2019,2,3.56
COLORADO,2019,3,3.66
COLORADO,2019,4,3.58
COLORADO,2019,5,3.97
COLORADO,2019,6,4.05
COLORADO,2019,7,4.18
COLORADO,2019,8,4.04
COLORADO,2019,9,4.0
COLORADO,2019,10,3.91
COLORADO,2019,11,3.84
COLORADO,2019,12,3.79
COLORADO,2018,1,3.32
COLORADO,2018,2,3.31
COLORADO,2018,3,3.49
COLORADO,2018,4,3.56
COLORADO,2018,5,3.66
COLORADO,2018,6,3.62
COLORADO,2018,7,3.58
COLORADO,2018,8,3.41
COLORADO,2018,9,3.47
COLORADO,2018,10,3.67
COLORADO,2018,11,3.65
COLORADO,2018,12,3.51
COLORADO,2017,1,3.33
COLORADO,2017,2,3.46
COLORADO,2017,3,3.62
COLORADO,2017,4,3.41
COLORADO,2017,5,3.5
COLORADO,2017,6,3.55
COLORADO,2017,7,3.72
COLORADO,2017,8,3.26
COLORADO,2017,9,3.37
COLORADO,2017,10,3.39
COLORADO,2017,11,3.24
COLORADO,2017,12,3.25
COLORADO,2016,1,3.78
COLORADO,2016,2,3.51
COLORADO,2016,3,3.61
COLORADO,2016,4,3.6
COLORADO,2016,5,3.64
COLORADO,2016,6,3.85
COLORADO,2016,7,3.64
COLORADO,2016,8,3.43
COLORADO,2016,9,3.31
COLORADO,2016,10,3.36
COLORADO,2016,11,3.3
COLORADO,2016,12,3.51
COLORADO,2015,1,4.1
COLORADO,2015,2,3.78
COLORADO,2015,3,3.94
COLORADO,2015,4,3.86
COLORADO,2015,5,3.64
COLORADO,2015,6,3.73
COLORADO,2015,7,4.07
COLORADO,2015,8,3.82
COLORADO,2015,9,3.8
COLORADO,2015,10,3.99
COLORADO,2015,11,3.72
COLORADO,2015,12,3.67
COLORADO,2014,1,4.52
COLORADO,2014,2,4.49
COLORADO,2014,3,4.65
COLORADO,2014,4,4.82
COLORADO,2014,5,4.91
COLORADO,2014,6,4.8
COLORADO,2014,7,4.62
COLORADO,2014,8,4.33
COLORADO,2014,9,3.95
COLORADO,2014,10,3.82
COLORADO,2014,11,4.05
COLORADO,2014,12,4.13
COLORADO,2013,1,6.86
COLORADO,2013,2,7.26
COLORADO,2013,3,7.21
COLORADO,2013,4,7.0
COLORADO,2013,5,6.98
COLORADO,2013,6,7.3
COLORADO,2013,7,7.06
COLORADO,2013,8,6.8
COLORADO,2013,9,6.07
COLORADO,2013,10,5.02
COLORADO,2013,11,4.71
COLORADO,2013,12,4.58
COLORADO,2012,1,6.05
COLORADO,2012,2,6.3
COLORADO,2012,3,6.37
COLORADO,2012,4,6.34
COLORADO,2012,5,6.21
COLORADO,2012,6,6.37
COLORADO,2012,7,6.98
COLORADO,2012,8,7.6
COLORADO,2012,9,6.67
COLORADO,2012,10,6.45
COLORADO,2012,11,6.69
COLORADO,2012,12,7.01
COLORADO,2011,1,4.77
COLORADO,2011,2,5.36
COLORADO,2011,3,5.21
COLORADO,2011,4,6.05
COLORADO,2011,5,6.55
COLORADO,2011,6,6.57
COLORADO,2011,7,6.6
COLORADO,2011,8,7.06
COLORADO,2011,9,6.61
COLORADO,2011,10,5.78
COLORADO,2011,11,5.85
