state,year,month,price_received
ILLINOIS,2022,8,4.78
ILLINOIS,2022,12,5.06
ILLINOIS,2017,9,3.55
ILLINOIS,2016,6,2.73
ILLINOIS,2016,7,2.5
ILLINOIS,2016,8,1.79
ILLINOIS,2015,8,2.31
ILLINOIS,2014,9,4.16
ILLINOIS,2013,7,4.28
ILLINOIS,2013,8,3.83
ILLINOIS,2012,8,3.99
ILLINOIS,2011,4,4.36
ILLINOIS,2011,7,3.13
ILLINOIS,2010,4,2.97
ILLINOIS,2010,5,2.96
ILLINOIS,2010,8,2.81
ILLINOIS,2009,8,2.8
ILLINOIS,2007,3,3.03
ILLINOIS,2006,1,2.09
ILLINOIS,2006,2,2.06
ILLINOIS,2006,6,2.25
ILLINOIS,2006,7,1.95
ILLINOIS,2006,8,1.75
ILLINOIS,2005,3,1.94
ILLINOIS,2005,6,2.2
ILLINOIS,2005,7,1.77
ILLINOIS,2005,8,1.84
ILLINOIS,2005,9,1.6
ILLINOIS,2004,4,1.8
ILLINOIS,2004,7,1.46
ILLINOIS,2004,8,1.33
ILLINOIS,2004,9,1.55
ILLINOIS,2004,12,1.54
ILLINOIS,2003,5,1.96
ILLINOIS,2003,7,1.38
ILLINOIS,2003,8,1.3
ILLINOIS,2003,9,1.81
ILLINOIS,2003,10,2.02
ILLINOIS,2003,11,1.48
ILLINOIS,2003,12,1.89
ILLINOIS,2002,1,2.31
ILLINOIS,2002,2,2.01
ILLINOIS,2002,3,2.01
ILLINOIS,2002,4,2.22
ILLINOIS,2002,5,2.0
ILLINOIS,2002,6,1.96
ILLINOIS,2002,7,1.82
ILLINOIS,2002,8,1.77
ILLINOIS,2002,9,1.84
ILLINOIS,2002,10,2.0
ILLINOIS,2001,1,1.5
ILLINOIS,2001,2,1.3
ILLINOIS,2001,3,1.2
ILLINOIS,2001,4,1.45
ILLINOIS,2001,5,1.55
ILLINOIS,2001,6,1.34
ILLINOIS,2001,7,1.34
ILLINOIS,2001,8,1.36
ILLINOIS,2001,9,1.42
ILLINOIS,2001,10,1.75
ILLINOIS,2001,11,2.0
ILLINOIS,2001,12,1.96
ILLINOIS,2000,1,1.3
ILLINOIS,2000,2,1.1
ILLINOIS,2000,3,1.1
ILLINOIS,2000,4,1.45
ILLINOIS,2000,5,1.59
ILLINOIS,2000,6,1.59
ILLINOIS,2000,7,1.33
ILLINOIS,2000,8,1.08
ILLINOIS,2000,9,1.35
ILLINOIS,2000,10,1.55
ILLINOIS,2000,11,1.5
ILLINOIS,2000,12,1.5
IOWA,2022,1,4.59
IOWA,2022,2,6.48
IOWA,2022,3,6.32
IOWA,2022,4,5.94
IOWA,2022,6,6.31
IOWA,2022,7,6.08
IOWA,2022,8,5.32
IOWA,2022,9,5.26
IOWA,2021,1,3.75
IOWA,2021,2,3.87
IOWA,2021,3,4.19
IOWA,2021,4,3.55
IOWA,2021,5,3.44
IOWA,2021,6,3.67
IOWA,2021,7,3.69
IOWA,2021,8,3.84
IOWA,2021,9,4.18
IOWA,2021,10,5.46
IOWA,2021,11,4.22
IOWA,2021,12,5.75
IOWA,2020,1,4.17
IOWA,2020,2,3.18
IOWA,2020,3,4.05
IOWA,2020,4,3.51
IOWA,2020,5,3.91
IOWA,2020,6,3.85
IOWA,2020,7,3.2
IOWA,2020,8,2.93
IOWA,2020,9,3.13
IOWA,2020,10,2.81
IOWA,2020,12,3.42
IOWA,2019,1,3.82
IOWA,2019,2,3.94
IOWA,2019,3,3.8
IOWA,2019,4,3.38
IOWA,2019,5,3.46
IOWA,2019,6,3.71
IOWA,2019,7,3.6
IOWA,2019,8,3.25
IOWA,2019,9,3.38
IOWA,2019,10,3.46
IOWA,2019,11,3.73
IOWA,2019,12,3.7
IOWA,2018,1,2.75
IOWA,2018,2,3.18
IOWA,2018,3,3.1
IOWA,2018,4,2.78
IOWA,2018,5,2.94
IOWA,2018,6,2.67
IOWA,2018,7,2.37
IOWA,2018,8,2.7
IOWA,2018,9,2.73
IOWA,2018,10,2.89
IOWA,2018,11,3.61
IOWA,2018,12,3.42
IOWA,2017,1,3.0
IOWA,2017,2,3.08
IOWA,2017,3,3.2
IOWA,2017,4,2.95
IOWA,2017,5,2.96
IOWA,2017,6,3.21
IOWA,2017,7,2.52
IOWA,2017,8,2.37
IOWA,2017,9,2.52
IOWA,2017,10,2.79
IOWA,2017,11,3.16
IOWA,2017,12,3.13
IOWA,2016,1,2.62
IOWA,2016,2,2.41
IOWA,2016,3,2.83
IOWA,2016,4,2.54
IOWA,2016,5,2.53
IOWA,2016,6,2.44
IOWA,2016,7,2.32
IOWA,2016,8,2.37
IOWA,2016,9,2.42
IOWA,2016,10,2.27
IOWA,2016,11,2.44
IOWA,2016,12,2.63
IOWA,2015,1,3.77
IOWA,2015,2,4.26
IOWA,2015,3,3.27
IOWA,2015,4,3.62
IOWA,2015,5,2.98
IOWA,2015,6,3.46
IOWA,2015,7,2.55
IOWA,2015,8,2.5
IOWA,2015,9,2.62
IOWA,2015,10,3.11
IOWA,2015,11,2.71
IOWA,2015,12,2.64
IOWA,2014,1,4.05
IOWA,2014,2,5.17
IOWA,2014,3,4.92
IOWA,2014,4,4.81
IOWA,2014,5,4.95
IOWA,2014,6,4.18
IOWA,2014,7,3.95
IOWA,2014,8,3.47
IOWA,2014,9,3.15
IOWA,2014,10,3.39
IOWA,2014,11,3.37
IOWA,2014,12,3.76
IOWA,2013,1,3.84
IOWA,2013,2,4.03
IOWA,2013,3,4.63
IOWA,2013,4,4.85
IOWA,2013,5,4.66
IOWA,2013,6,4.5
IOWA,2013,7,3.7
IOWA,2013,8,3.71
IOWA,2013,9,4.02
IOWA,2013,10,3.84
IOWA,2013,11,4.18
IOWA,2013,12,4.03
IOWA,2012,1,3.51
IOWA,2012,2,3.61
IOWA,2012,3,3.63
IOWA,2012,4,4.02
IOWA,2012,5,4.04
IOWA,2012,6,3.78
IOWA,2012,7,3.78
IOWA,2012,8,3.82
IOWA,2012,9,3.93
IOWA,2012,10,4.0
IOWA,2012,11,4.2
IOWA,2012,12,4.15
IOWA,2011,1,3.76
IOWA,2011,2,2.95
IOWA,2011,3,3.17
IOWA,2011,4,3.76
IOWA,2011,5,3.56
IOWA,2011,6,3.72
IOWA,2011,7,3.18
IOWA,2011,8,3.2
IOWA,2011,9,3.73
IOWA,2011,10,3.59
IOWA,2011,11,3.73
IOWA,2011,12,4.23
IOWA,2010,1,2.08
IOWA,2010,2,3.05
IOWA,2010,3,1.97
IOWA,2010,4,2.38
IOWA,2010,5,2.24
IOWA,2010,6,2.3
IOWA,2010,7,2.27
IOWA,2010,8,2.3
IOWA,2010,9,2.18
IOWA,2010,10,2.27
IOWA,2010,11,2.97
IOWA,2010,12,3.61
IOWA,2009,1,2.89
IOWA,2009,2,2.78
IOWA,2009,3,3.07
IOWA,2009,4,2.62
IOWA,2009,5,2.87
IOWA,2009,6,2.82
IOWA,2009,7,1.89
IOWA,2009,8,1.94
IOWA,2009,9,1.86
IOWA,2009,10,1.9
