state,year,month,price_received
ARKANSAS,2022,1,13.5
ARKANSAS,2022,3,15.6
ARKANSAS,2022,4,14.9
ARKANSAS,2022,5,16.3
ARKANSAS,2022,6,15.8
ARKANSAS,2022,8,15.4
ARKANSAS,2022,9,13.9
ARKANSAS,2022,10,13.7
ARKANSAS,2022,11,14.0
ARKANSAS,2022,12,14.7
ARKANSAS,2021,1,11.2
ARKANSAS,2021,2,12.9
ARKANSAS,2021,3,12.2
ARKANSAS,2021,4,14.7
ARKANSAS,2021,5,13.6
ARKANSAS,2021,7,14.4
ARKANSAS,2021,8,13.2
ARKANSAS,2021,10,12.2
ARKANSAS,2021,11,12.1
ARKANSAS,2021,12,12.4
ARKANSAS,2020,1,8.95
ARKANSAS,2020,2,8.75
ARKANSAS,2020,3,8.5
ARKANSAS,2020,4,8.31
ARKANSAS,2020,5,8.43
ARKANSAS,2020,6,8.35
ARKANSAS,2020,7,8.68
ARKANSAS,2020,8,9.43
ARKANSAS,2020,9,9.78
ARKANSAS,2020,10,9.98
ARKANSAS,2020,11,10.3
ARKANSAS,2020,12,10.7
ARKANSAS,2019,1,8.96
ARKANSAS,2019,2,8.72
ARKANSAS,2019,3,8.4
ARKANSAS,2019,4,8.09
ARKANSAS,2019,5,7.98
ARKANSAS,2019,7,8.53
ARKANSAS,2019,8,8.46
ARKANSAS,2019,9,8.73
ARKANSAS,2019,10,8.92
ARKANSAS,2019,11,9.0
ARKANSAS,2019,12,8.9
ARKANSAS,2018,1,9.85
ARKANSAS,2018,2,10.1
ARKANSAS,2018,3,10.1
ARKANSAS,2018,4,10.1
ARKANSAS,2018,5,9.76
ARKANSAS,2018,6,8.64
ARKANSAS,2018,9,9.39
ARKANSAS,2018,10,8.61
ARKANSAS,2018,11,8.8
ARKANSAS,2018,12,9.0
ARKANSAS,2017,1,10.2
ARKANSAS,2017,2,10.1
ARKANSAS,2017,3,10.3
ARKANSAS,2017,6,9.45
ARKANSAS,2017,9,9.75
ARKANSAS,2017,10,9.68
ARKANSAS,2017,12,9.69
ARKANSAS,2016,1,9.1
ARKANSAS,2016,2,8.98
ARKANSAS,2016,3,9.25
ARKANSAS,2016,5,10.2
ARKANSAS,2016,7,10.3
ARKANSAS,2016,8,10.4
ARKANSAS,2016,9,9.69
ARKANSAS,2016,10,9.76
ARKANSAS,2016,11,9.88
ARKANSAS,2016,12,9.97
ARKANSAS,2015,1,10.7
ARKANSAS,2015,2,10.5
ARKANSAS,2015,3,10.3
ARKANSAS,2015,4,10.1
ARKANSAS,2015,5,9.88
ARKANSAS,2015,6,9.9
ARKANSAS,2015,7,10.0
ARKANSAS,2015,8,9.8
ARKANSAS,2015,9,9.76
ARKANSAS,2015,10,9.54
ARKANSAS,2015,11,9.23
ARKANSAS,2015,12,9.32
ARKANSAS,2014,1,13.3
ARKANSAS,2014,2,13.5
ARKANSAS,2014,3,14.0
ARKANSAS,2014,4,14.6
ARKANSAS,2014,5,14.3
ARKANSAS,2014,6,15.0
ARKANSAS,2014,7,13.1
ARKANSAS,2014,8,12.4
ARKANSAS,2014,9,10.7
ARKANSAS,2014,10,10.6
ARKANSAS,2014,11,10.8
ARKANSAS,2014,12,10.7
ARKANSAS,2013,1,14.5
ARKANSAS,2013,2,14.9
ARKANSAS,2013,3,14.1
ARKANSAS,2013,4,14.2
ARKANSAS,2013,5,15.0
ARKANSAS,2013,6,15.2
ARKANSAS,2013,7,14.8
ARKANSAS,2013,9,13.3
ARKANSAS,2013,10,13.0
ARKANSAS,2013,11,13.0
ARKANSAS,2013,12,13.2
ARKANSAS,2012,1,12.2
ARKANSAS,2012,2,12.4
ARKANSAS,2012,3,13.2
ARKANSAS,2012,4,14.0
ARKANSAS,2012,5,13.8
ARKANSAS,2012,6,14.3
ARKANSAS,2012,7,16.5
ARKANSAS,2012,8,14.7
ARKANSAS,2012,9,14.1
ARKANSAS,2012,10,14.3
ARKANSAS,2012,11,14.5
ARKANSAS,2012,12,14.6
ARKANSAS,2011,1,11.2
ARKANSAS,2011,2,12.8
ARKANSAS,2011,3,12.5
ARKANSAS,2011,4,13.1
ARKANSAS,2011,5,12.0
ARKANSAS,2011,6,12.8
ARKANSAS,2011,7,13.8
ARKANSAS,2011,8,13.2
ARKANSAS,2011,9,11.8
ARKANSAS,2011,10,12.0
ARKANSAS,2011,11,12.1
ARKANSAS,2011,12,11.8
ARKANSAS,2010,1,9.91
ARKANSAS,2010,2,9.0
ARKANSAS,2010,3,9.25
ARKANSAS,2010,4,9.18
ARKANSAS,2010,5,9.25
ARKANSAS,2010,6,8.98
ARKANSAS,2010,7,9.71
ARKANSAS,2010,8,10.1
ARKANSAS,2010,9,10.1
ARKANSAS,2010,10,10.8
ARKANSAS,2010,11,11.4
ARKANSAS,2010,12,11.5
ARKANSAS,2009,1,9.74
ARKANSAS,2009,2,9.62
ARKANSAS,2009,3,9.45
ARKANSAS,2009,4,9.96
ARKANSAS,2009,5,10.1
ARKANSAS,2009,6,11.8
ARKANSAS,2009,7,10.9
ARKANSAS,2009,8,10.7
ARKANSAS,2009,9,9.6
ARKANSAS,2009,10,9.56
ARKANSAS,2009,11,9.69
ARKANSAS,2009,12,9.68
ARKANSAS,2008,1,9.25
ARKANSAS,2008,2,12.0
ARKANSAS,2008,3,12.0
ARKANSAS,2008,4,11.6
ARKANSAS,2008,6,12.1
ARKANSAS,2008,7,13.9
ARKANSAS,2008,8,11.6
ARKANSAS,2008,9,10.8
ARKANSAS,2008,10,9.53
ARKANSAS,2008,11,8.73
ARKANSAS,2008,12,8.89
ARKANSAS,2007,1,6.54
ARKANSAS,2007,2,7.22
ARKANSAS,2007,3,7.28
ARKANSAS,2007,4,7.09
ARKANSAS,2007,5,7.49
ARKANSAS,2007,6,7.82
ARKANSAS,2007,7,7.89
ARKANSAS,2007,8,7.48
ARKANSAS,2007,9,8.27
ARKANSAS,2007,10,8.22
