state,item,year,yield_value
ALASKA,BARLEY,2022,42.0
ARIZONA,BARLEY,2022,133.0
CALIFORNIA,BARLEY,2022,55.0
COLORADO,BARLEY,2022,111.0
DELAWARE,BARLEY,2022,87.0
IDAHO,BARLEY,2022,111.0
KANSAS,BARLEY,2022,33.0
MAINE,BARLEY,2022,65.0
MARYLAND,BARLEY,2022,82.0
MICHIGAN,BARLEY,2022,50.0
MINNESOTA,BARLEY,2022,72.0
MONTANA,BARLEY,2022,41.0
NEW YORK,BARLEY,2022,61.0
NORTH CAROLINA,BARLEY,2022,69.0
NORTH DAKOTA,BARLEY,2022,73.0
OREGON,BARLEY,2022,55.0
PENNSYLVANIA,BARLEY,2022,67.0
SOUTH DAKOTA,BARLEY,2022,54.0
UTAH,BARLEY,2022,82.0
VIRGINIA,BARLEY,2022,86.0
WASHINGTON,BARLEY,2022,84.0
WISCONSIN,BARLEY,2022,55.0
WYOMING,BARLEY,2022,93.0
