state,year,CORN
ALABAMA,2022,118.0
ARIZONA,2022,220.0
ARKANSAS,2022,173.0
CALIFORNIA,2022,177.0
COLORADO,2022,121.0
DELAWARE,2022,170.0
FLORIDA,2022,164.0
GEORGIA,2022,175.0
IDAHO,2022,216.0
ILLINOIS,2022,214.0
INDIANA,2022,190.0
IOWA,2022,200.0
KANSAS,2022,115.0
KENTUCKY,2022,156.0
LOUISIANA,2022,170.0
MARYLAND,2022,165.0
MICHIGAN,2022,168.0
MINNESOTA,2022,195.0
MISSISSIPPI,2022,165.0
MISSOURI,2022,161.0
MONTANA,2022,112.0
NEBRASKA,2022,165.0
NEW JERSEY,2022,115.0
NEW MEXICO,2022,149.0
NEW YORK,2022,140.0
NORTH CAROLINA,2022,126.0
NORTH DAKOTA,2022,131.0
OHIO,2022,187.0
OKLAHOMA,2022,122.0
OREGON,2022,237.0
PENNSYLVANIA,2022,140.0
SOUTH CAROLINA,2022,122.0
SOUTH DAKOTA,2022,132.0
TENNESSEE,2022,130.0
TEXAS,2022,95.0
UTAH,2022,165.0
VIRGINIA,2022,167.0
WASHINGTON,2022,220.0
WEST VIRGINIA,2022,168.0
WISCONSIN,2022,180.0
WYOMING,2022,153.0
CONNECTICUT,2022,20.0
MAINE,2022,17.0
MASSACHUSETTS,2022,15.0
NEVADA,2022,22.0
NEW HAMPSHIRE,2022,19.0
RHODE ISLAND,2022,16.0
VERMONT,2022,19.0
